Unnamed: 0,WAS,BAL
First Downs,14,12
Rush-Yds-TDs,21-62-0,39-147-1
Cmp-Att-Yd-TD-INT,21-37-218-1-2,10-21-134-1-1
Sacked-Yards,2-26,0-0
Net Pass Yards,192,134
Total Yards,254,281
Fumbles-Lost,3-1,2-1
Turnovers,3,2
Penalties-Yards,7-39,4-35
Third Down Conv.,3-14,5-15
Fourth Down Conv.,2-2,1-2
Time of Possession,29:10,30:50
