Quarter,Time,Tm,Detail,WAS,BAL
1.0,11:59,Ravens,Le'Ron McClain 8 yard rush (Matt Stover kick),0,7
,9:30,Ravens,Ed Reed 22 yard defensive fumble return (Matt Stover kick),0,14
3.0,4:11,Ravens,Matt Stover 32 yard field goal,0,17
4.0,13:40,Redskins,Shaun Suisham 43 yard field goal,3,17
,11:27,Redskins,Antwaan Randle El 5 yard pass from Jason Campbell (Shaun Suisham kick),10,17
,3:35,Ravens,Derrick Mason 28 yard pass from Joe Flacco (Matt Stover kick),10,24
