Quarter,Time,Down,ToGo,Location,WAS,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Steven Hauschka kicks off 59 yards, returned by Rock Cartwright for 17 yards (tackle by Marcus Smith)",0.000,-0.810
1,15:00,1,10,WAS 28,0,0,Jason Campbell pass incomplete short left intended for Santana Moss,0.810,0.260
1,14:52,2,10,WAS 28,0,0,Jason Campbell pass complete short right to Chris Cooley for 12 yards (tackle by Jim Leonhard),0.260,1.600
1,14:14,1,10,WAS 40,0,0,Jason Campbell pass incomplete deep middle intended for Santana Moss is intercepted by Ed Reed at BAL-41 and returned for 4 yards (tackle by Clinton Portis),1.600,-1.930
1,14:05,1,10,BAL 45,0,0,Joe Flacco pass complete deep right to Derrick Mason for 26 yards (tackle by Chris Horton),1.930,3.640
1,13:23,1,10,WAS 29,0,0,Willis McGahee right guard for no gain (tackle by Cornelius Griffin and Jason Taylor),3.640,3.100
1,12:49,2,10,WAS 29,0,0,Joe Flacco pass incomplete short middle intended for Derrick Mason (defended by Jason Taylor),3.100,2.410
1,12:40,3,10,WAS 29,0,0,Ray Rice left guard for 21 yards (tackle by Demetric Evans),2.410,5.370
1,12:04,1,8,WAS 8,0,6,"Le'Ron McClain left guard for 8 yards, touchdown",5.370,7.000
1,,,,WAS 2,0,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,0,7,"Steven Hauschka kicks off 64 yards, returned by Rock Cartwright for 25 yards (tackle by Frank Walker)",0.000,-1.000
1,11:50,1,10,WAS 31,0,7,Clinton Portis left end for 4 yards (tackle by Haloti Ngata and Ray Lewis),1.000,1.000
1,11:21,2,6,WAS 35,0,7,Jason Campbell pass incomplete short middle intended for Antwaan Randle El (defended by Jarret Johnson),1.000,0.300
1,11:15,3,6,WAS 35,0,7,Jason Campbell pass incomplete short left intended for Chris Cooley,0.300,-1.040
1,11:12,4,6,WAS 35,0,7,Ryan Plackemeier punts 21 yards,-1.040,-1.860
1,10:59,1,10,BAL 44,0,7,Joe Flacco pass incomplete short middle intended for Willis McGahee,1.860,1.320
1,10:53,2,10,BAL 44,0,7,Joe Flacco pass incomplete short right intended for Daniel Wilcox,1.320,0.630
1,10:46,3,10,BAL 44,0,7,Joe Flacco right end for 9 yards (tackle by London Fletcher),0.630,0.130
1,9:48,4,1,WAS 47,0,7,"Sam Koch punts 36 yards, fair catch by Antwaan Randle El",0.130,0.370
1,9:43,1,10,WAS 11,0,13,"Clinton Portis up the middle for 11 yards (tackle by Ed Reed). Clinton Portis fumbles (forced by Ed Reed), recovered by Ed Reed at WAS-22 and returned for 22 yards, touchdown",-0.370,-7.000
,,,,,,,"WAS challenged the fumble ruling, and the play was upheld.",,
1,,,,WAS 2,0,14,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,0,14,"Steven Hauschka kicks off 67 yards, returned by Rock Cartwright for 15 yards (tackle by Antwan Barnes)",0.000,-0.040
1,9:24,1,10,WAS 18,0,14,Clinton Portis right tackle for no gain (tackle by Jarret Johnson and Terrell Suggs),0.040,-0.490
1,8:47,2,10,WAS 18,0,14,Clinton Portis left end for 1 yard (tackle by Trevor Pryce),-0.490,-1.040
