Quarter,Time,Tm,Detail,TEN,HOU
1.0,11:47,Titans,Ryan Succop 31 yard field goal,3,0
,9:21,Titans,Jonnu Smith 61 yard pass from Marcus Mariota (Ryan Succop kick),10,0
,5:21,Texans,Demaryius Thomas 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,7
2.0,14:53,Texans,Deshaun Watson 15 yard rush (Ka'imi Fairbairn kick),10,14
,9:22,Texans,Lamar Miller 97 yard rush (Ka'imi Fairbairn kick),10,21
,0:00,Texans,Ka'imi Fairbairn 43 yard field goal,10,24
3.0,8:53,Texans,Ka'imi Fairbairn 47 yard field goal,10,27
,0:13,Titans,Corey Davis 48 yard pass from Marcus Mariota (Ryan Succop kick),17,27
4.0,8:15,Texans,Demaryius Thomas 10 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,34
