Quarter,Time,Tm,Detail,IND,MIA
1.0,9:16,Colts,"Safety, T.Y. McGill ryan Tannehill sack in end zone",2,0
,6:01,Colts,Frank Gore 37 yard rush (Adam Vinatieri kick failed),8,0
2.0,8:07,Dolphins,Lamar Miller 1 yard rush (pass failed),8,6
,4:42,Colts,Frank Gore 11 yard rush (Adam Vinatieri kick),15,6
3.0,3:50,Dolphins,Andrew Franks 33 yard field goal,15,9
4.0,8:30,Colts,Adam Vinatieri 38 yard field goal,18,9
,5:17,Dolphins,Andrew Franks 20 yard field goal,18,12
