Unnamed: 0,ATL,TAM
First Downs,19,26
Rush-Yds-TDs,31-151-1,23-69-1
Cmp-Att-Yd-TD-INT,14-25-147-1-0,35-52-351-1-0
Sacked-Yards,5-37,0-0
Net Pass Yards,110,351
Total Yards,261,420
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,6-55,6-45
Third Down Conv.,6-14,9-16
Fourth Down Conv.,1-1,0-1
Time of Possession,30:34,29:26
