Unnamed: 0,TAM,ATL
First Downs,18,15
Rush-Yds-TDs,30-144-1,16-65-1
Cmp-Att-Yd-TD-INT,19-35-222-1-1,28-44-238-1-0
Sacked-Yards,0-0,2-25
Net Pass Yards,222,213
Total Yards,366,278
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,2-15,2-15
Third Down Conv.,7-16,3-14
Fourth Down Conv.,0-0,1-3
Time of Possession,32:05,27:55
