Unnamed: 0,STL,SEA
First Downs,10,19
Rush-Yds-TDs,15-47-0,35-141-0
Cmp-Att-Yd-TD-INT,19-36-155-0-1,22-36-192-1-0
Sacked-Yards,3-18,0-0
Net Pass Yards,137,192
Total Yards,184,333
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,6-46,7-70
Third Down Conv.,2-14,4-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:15,34:45
