Quarter,Time,Tm,Detail,STL,SEA
1.0,11:38,Seahawks,Mike Williams 4 yard pass from Charlie Whitehurst (Olindo Mare kick),0,7
2.0,8:54,Rams,Josh Brown 32 yard field goal,3,7
3.0,8:59,Rams,Josh Brown 27 yard field goal,6,7
,3:04,Seahawks,Olindo Mare 31 yard field goal,6,10
4.0,10:53,Seahawks,Olindo Mare 38 yard field goal,6,13
,1:37,Seahawks,Olindo Mare 34 yard field goal,6,16
