Quarter,Time,Tm,Detail,SEA,NYG
1.0,6:24,Seahawks,Rian Lindell 42 yard field goal,3,0
2.0,4:05,Seahawks,Rian Lindell 27 yard field goal,6,0
3.0,8:06,Giants,Matt Bryant 33 yard field goal,6,3
4.0,12:05,Giants,Matt Bryant 21 yard field goal,6,6
,2:04,Giants,Matt Bryant 47 yard field goal,6,9
