Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
2,7:51,3,8,SEA 49,3,0,Kerry Collins pass incomplete intended for Jeremy Shockey,1.220,0.000
2,7:42,4,8,SEA 49,3,0,"Matt Allen punts 49 yards, touchback. Penalty on Darnell Dinkins: Offensive Holding, 10 yards (no play)",0.000,-0.650
2,7:34,4,18,NYG 41,3,0,"Matt Allen punts 35 yards, returned by Bobby Engram for 28 yards (tackle by Wesly Mallard)",-0.650,-2.390
2,7:26,1,10,NYG 48,3,0,Shaun Alexander middle for -1 yards (tackle by Keith Hamilton),2.390,1.710
2,6:55,2,11,NYG 49,3,0,Shaun Alexander right tackle for 3 yards (tackle by Michael Strahan),1.710,1.420
2,6:16,3,8,NYG 46,3,0,Trent Dilfer pass complete to Bobby Engram for 14 yards (tackle by Ralph Brown). Penalty on Ralph Brown: Defensive Holding (Declined),1.420,3.450
2,6:01,1,10,NYG 32,3,0,Shaun Alexander middle for 4 yards (tackle by Shaun Williams and Kenny Holmes),3.450,3.440
2,5:29,2,6,NYG 28,3,0,Trent Dilfer pass complete to Bobby Engram for 17 yards (tackle by Will Peterson),3.440,4.840
2,5:04,1,10,NYG 11,3,0,Trent Dilfer pass incomplete,4.840,4.140
2,4:58,2,10,NYG 11,3,0,Shaun Alexander left end for 2 yards (tackle by Shaun Williams and Kenny Holmes),4.140,3.530
2,4:14,3,8,NYG 9,3,0,Trent Dilfer pass incomplete intended for Mack Strong,3.530,2.830
2,4:09,4,8,NYG 9,6,0,Rian Lindell 27 yard field goal good,2.830,3.000
2,4:09,,,SEA 30,6,0,"Rian Lindell kicks off 70 yards, returned by Daryl Jones for 14 yards (tackle by Alex Bannister)",0.000,-0.280
2,3:59,1,10,NYG 14,6,0,Ron Dayne left guard for 1 yard (tackle by Chad Brown),-0.280,-0.640
2,3:17,2,9,NYG 15,6,0,Kerry Collins pass complete to Tiki Barber for -3 yards (tackle by Lamar King and Antonio Cochran),-0.640,-1.650
2,2:36,3,12,NYG 12,6,0,Kerry Collins pass complete to Amani Toomer for 49 yards (tackle by Reggie Tongue and Ken Lucas),-1.650,2.980
2,2:00,1,10,SEA 39,6,0,Tiki Barber right guard for -1 yards (tackle by Marcus Robertson),2.980,2.300
2,1:25,2,11,SEA 40,6,0,Kerry Collins pass complete to Ike Hilliard for 14 yards (tackle by Ken Lucas),2.300,3.840
2,1:16,2,11,SEA 40,,,Timeout #1 by New York Giants,2.300,3.840
2,1:16,1,10,SEA 26,6,0,Kerry Collins pass complete to Ron Dayne for 8 yards (tackle by Chad Brown),3.840,4.450
2,1:10,2,2,SEA 18,6,0,Kerry Collins pass complete to Jeremy Shockey for 10 yards (tackle by Isaiah Kacyvenski and Chad Brown),4.450,5.370
2,0:37,1,8,SEA 8,6,0,Kerry Collins pass incomplete intended for Jeremy Shockey,5.370,4.570
2,0:30,2,8,SEA 8,6,0,Kerry Collins pass complete to Jeremy Shockey for 7 yards (tackle by Doug Evans),4.570,5.170
2,0:21,2,8,SEA 8,,,Timeout #2 by New York Giants,4.570,5.170
2,0:21,3,1,SEA 1,6,0,Kerry Collins pass incomplete intended for Jeremy Shockey,5.170,3.550
2,0:16,4,1,SEA 1,6,0,Tiki Barber right end for -4 yards (tackle by Shawn Springs),3.550,0.380
2,0:10,1,10,SEA 5,6,0,Trent Dilfer for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,6,0,"Rian Lindell kicks off 68 yards, returned by Daryl Jones for 14 yards (tackle by Maurice Morris)",0.000,-0.140
3,14:54,1,10,NYG 16,6,0,Ron Dayne left end for 2 yards (tackle by Chad Brown and Chad Eaton),-0.140,-0.350
3,14:20,2,8,NYG 18,6,0,"Ron Dayne right tackle for no gain (tackle by Chad Brown). Penalty on Jason Whittle: Offensive Holding, 9 yards (no play)",-0.350,-1.290
3,14:07,2,17,NYG 9,6,0,Tiki Barber left guard for 2 yards (tackle by Rocky Bernard),-1.290,-2.010
3,13:32,3,15,NYG 11,6,0,Kerry Collins pass complete to Jeremy Shockey for 21 yards (tackle by Reggie Tongue),-2.010,1.070
3,12:43,1,10,NYG 32,6,0,Ron Dayne middle for 3 yards (tackle by Isaiah Kacyvenski and Marcus Robertson),1.070,0.930
3,11:58,2,7,NYG 35,6,0,Kerry Collins pass complete to Tiki Barber for 7 yards (tackle by Reggie Tongue),0.930,1.730
3,11:44,1,10,NYG 42,6,0,Kerry Collins sacked by Chad Brown for -8 yards,1.730,0.110
3,11:21,2,18,NYG 34,6,0,Kerry Collins pass incomplete intended for Ike Hilliard,0.110,-0.560
3,11:15,3,18,NYG 34,6,0,"Kerry Collins pass incomplete intended for Jeremy Shockey. Penalty on Lamar King: Defensive Offside, 5 yards (no play)",-0.560,0.100
3,11:10,3,13,NYG 39,6,0,Kerry Collins pass complete to Amani Toomer for 19 yards (tackle by Marcus Robertson),0.100,2.790
3,10:30,1,10,SEA 42,6,0,Tiki Barber right end for 9 yards (tackle by Marcus Robertson),2.790,3.460
3,10:03,2,1,SEA 33,6,0,Tiki Barber right end for 1 yard (tackle by Isaiah Kacyvenski and Chad Eaton),3.460,3.450
3,9:48,1,10,SEA 32,6,0,Kerry Collins pass incomplete intended for Jeremy Shockey,3.450,2.900
3,9:36,2,10,SEA 32,6,0,Tiki Barber right end for 11 yards (tackle by Shawn Springs),2.900,4.170
3,8:59,1,10,SEA 21,6,0,Kerry Collins pass incomplete intended for Tiki Barber,4.170,3.630
3,8:56,2,10,SEA 21,6,0,Kerry Collins pass complete to Sean Bennett for 6 yards (tackle by Marcus Bell),3.630,3.810
3,8:15,3,4,SEA 15,6,0,Kerry Collins pass incomplete intended for Amani Toomer,3.810,2.520
3,8:15,4,4,SEA 15,6,3,Matt Bryant 33 yard field goal good,2.520,3.000
3,8:15,,,NYG 30,6,3,"Matt Bryant kicks off 64 yards, returned by Maurice Morris for 25 yards (tackle by Charles Stackhouse)",0.000,1.000
3,8:00,1,10,SEA 31,6,3,Shaun Alexander left guard for -1 yards (tackle by Micheal Barrow),1.000,0.320
3,7:25,2,11,SEA 30,6,3,Trent Dilfer pass incomplete intended for Itula Mili (defended by Shaun Williams),0.320,-0.360
3,7:20,3,11,SEA 30,6,3,Trent Dilfer pass complete to Darrell Jackson for 12 yards (tackle by Omar Stoutmire),-0.360,1.730
3,6:44,1,10,SEA 42,6,3,Trent Dilfer pass complete to Darrell Jackson for 6 yards (tackle by Will Allen),1.730,2.000
3,6:13,2,4,SEA 48,6,3,Shaun Alexander left tackle for -7 yards (tackle by Kenny Holmes),2.000,0.370
3,5:34,3,11,SEA 41,6,3,Trent Dilfer pass complete to Darrell Jackson for 5 yards (tackle by Micheal Barrow and Daryl Jones). Penalty on Robbie Tobeck: Offensive Holding (Declined),0.370,-0.320
3,5:17,4,6,SEA 46,6,3,"Jeff Feagles punts 50 yards, out of bounds",-0.320,0.380
3,5:08,1,10,NYG 4,6,3,Kerry Collins pass complete to Amani Toomer for 12 yards (tackle by Shawn Springs),-0.380,-0.140
3,4:48,1,10,NYG 16,6,3,Tiki Barber right guard for 2 yards (tackle by John Hilliard and Anton Palepoi),-0.140,-0.350
3,4:10,2,8,NYG 18,6,3,Tiki Barber right tackle for 6 yards (tackle by Shawn Springs and Reggie Tongue),-0.350,-0.320
3,3:31,3,2,NYG 24,6,3,Kerry Collins pass complete to Ike Hilliard for 13 yards (tackle by Marcus Bell),-0.320,1.400
3,2:55,1,10,NYG 37,6,3,Kerry Collins pass incomplete intended for Amani Toomer,1.400,0.860
3,2:49,2,10,NYG 37,6,3,Kerry Collins pass complete to Ron Dixon for -4 yards (tackle by Ken Lucas),0.860,-0.360
3,2:05,3,14,NYG 33,6,3,"Kerry Collins pass incomplete intended for Ike Hilliard (defended by Willie Williams). Penalty on Marcus Robertson: Defensive Offside, 5 yards (no play)",-0.360,0.300
3,2:00,3,9,NYG 38,6,3,Kerry Collins pass incomplete intended for Amani Toomer,0.300,-0.850
3,1:54,4,9,NYG 38,6,3,"Matt Allen punts 52 yards, fair catch by Bobby Engram",-0.850,0.380
3,1:46,1,10,SEA 10,6,3,Trent Dilfer pass incomplete intended for Koren Robinson,-0.380,-0.780
3,1:40,2,10,SEA 10,6,3,Trent Dilfer pass incomplete intended for Koren Robinson,-0.780,-1.420
3,1:36,3,10,SEA 10,6,3,Trent Dilfer sacked by Michael Strahan for -7 yards,-1.420,-2.490
3,1:09,4,17,SEA 3,6,3,"Jeff Feagles punts 51 yards, fair catch by Daryl Jones",-2.490,-1.990
3,1:00,1,10,NYG 46,6,3,Kerry Collins pass complete to Charles Stackhouse for 11 yards (tackle by Shawn Springs),1.990,2.720
3,0:46,1,10,SEA 43,6,3,Tiki Barber right end for -2 yards (tackle by Willie Williams),2.720,1.910
Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,SEA 45,6,3,Kerry Collins pass complete to Tiki Barber for 33 yards (tackle by Marcus Robertson),1.910,4.780
4,14:11,1,10,SEA 12,6,3,Tiki Barber right tackle for 1 yard (tackle by John Hilliard),4.780,4.270
4,13:31,2,9,SEA 11,6,3,Kerry Collins pass complete to Tiki Barber for 5 yards (tackle by Isaiah Kacyvenski),4.270,4.380
4,12:51,3,4,SEA 6,6,3,Kerry Collins pass complete to Tiki Barber for 2 yards (tackle by Doug Evans and Marcus Bell),4.380,3.040
4,12:09,4,2,SEA 4,6,6,Matt Bryant 21 yard field goal good,3.040,3.000
4,12:09,,,NYG 30,6,6,"Matt Bryant kicks off 78 yards, touchback",0.000,0.280
4,12:05,1,10,SEA 20,6,6,Trent Dilfer pass complete to Darrell Jackson for 7 yards (tackle by Omar Stoutmire),0.280,0.680
4,11:36,2,3,SEA 27,6,6,Trent Dilfer pass complete to Mack Strong for 2 yards (tackle by Daryl Jones),0.680,0.230
4,10:59,3,1,SEA 29,6,6,Trent Dilfer middle for 2 yards (tackle by Keith Hamilton and Shaun Williams),0.230,1.000
4,10:20,1,10,SEA 31,6,6,"Trent Dilfer pass incomplete intended for Jerramy Stevens. Penalty on SEA: Illegal Formation, 5 yards (no play)",1.000,0.670
4,10:13,1,15,SEA 26,6,6,Shaun Alexander right tackle for 4 yards (tackle by Shaun Williams and Shaun Williams),0.670,0.320
4,9:35,2,11,SEA 30,6,6,Trent Dilfer pass complete to Mack Strong for 3 yards (tackle by Micheal Barrow),0.320,0.040
4,9:00,3,8,SEA 33,6,6,Shaun Alexander left end for 6 yards (tackle by Daryl Jones and Shaun Williams),0.040,-0.780
4,8:17,4,2,SEA 39,6,6,Jeff Feagles punts 56 yards,-0.780,0.380
4,8:04,1,10,NYG 5,6,6,Tiki Barber left guard for 3 yards (tackle by John Hilliard and Chad Eaton),-0.380,-0.560
4,7:27,2,7,NYG 8,6,6,Tiki Barber right end for 3 yards (tackle by Antonio Cochran),-0.560,-0.720
4,6:47,3,4,NYG 11,6,6,Kerry Collins pass complete to Amani Toomer for 20 yards (tackle by Isaiah Kacyvenski),-0.720,1.000
4,6:07,1,10,NYG 31,6,6,Kerry Collins pass complete to Ike Hilliard for 18 yards (tackle by Isaiah Kacyvenski),1.000,2.190
4,5:29,1,10,NYG 49,6,6,Ron Dayne left tackle for 4 yards (tackle by Isaiah Kacyvenski),2.190,2.190
4,4:51,2,6,SEA 47,6,6,Kerry Collins pass incomplete intended for Ike Hilliard,2.190,1.490
4,4:43,3,6,SEA 47,6,6,Kerry Collins pass complete to Jeremy Shockey for 10 yards (tackle by Chad Brown and Harold Blackmon),1.490,3.120
4,4:08,1,10,SEA 37,6,6,Tiki Barber right end for 5 yards (tackle by Reggie Tongue),3.120,3.250
4,3:28,2,5,SEA 32,6,6,Ron Dayne left tackle for 4 yards (tackle by Tim Terry),3.250,3.070
4,2:48,3,1,SEA 28,6,6,Tiki Barber right end for -2 yards (tackle by Reggie Tongue and Marcus Robertson),3.070,1.480
4,2:11,4,3,SEA 30,6,9,Matt Bryant 47 yard field goal good,1.480,3.000
4,2:11,,,NYG 30,6,9,"Matt Bryant kicks off 67 yards, returned by Maurice Morris for 26 yards (tackle by Nick Greisen)",0.000,0.870
4,1:58,1,10,SEA 29,6,9,Trent Dilfer pass complete to Jerramy Stevens for 5 yards (tackle by Omar Stoutmire),0.870,1.000
4,1:40,2,5,SEA 34,6,9,Trent Dilfer pass incomplete intended for Koren Robinson is intercepted by Will Peterson at SEA-42 and returned for 1 yard,1.000,-2.850
4,1:35,1,10,SEA 41,6,9,Ron Dayne right guard for 6 yards (tackle by Antonio Cochran),2.850,3.120
4,1:27,1,10,SEA 41,,,Timeout #1 by Seattle Seahawks,2.850,3.120
4,1:27,2,4,SEA 35,6,9,Ron Dayne left tackle for 5 yards (tackle by Chad Brown and Marcus Bell),3.120,3.580
4,1:16,2,4,SEA 35,,,Timeout #2 by Seattle Seahawks,3.120,3.580
4,1:16,1,10,SEA 30,6,9,Kerry Collins for -2 yards,3.580,2.760
4,1:12,1,10,SEA 30,,,Timeout #3 by Seattle Seahawks,3.580,2.760
4,1:12,2,12,SEA 32,6,9,Kerry Collins for -1 yards,2.760,1.950
4,0:36,3,13,SEA 33,6,9,Kerry Collins for -1 yards,1.950,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
