Unnamed: 0,SEA,NYG
First Downs,7,21
Rush-Yds-TDs,18-40-0,35-94-0
Cmp-Att-Yd-TD-INT,16-25-118-0-1,23-38-282-0-0
Sacked-Yards,2-13,3-25
Net Pass Yards,105,257
Total Yards,145,351
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-37,3-24
Third Down Conv.,4-12,8-18
Fourth Down Conv.,0-0,0-1
Time of Possession,23:10,36:50
