Quarter,Time,Tm,Detail,PHI,KAN
1.0,9:59,Chiefs,Priest Holmes 3 yard rush (Lawrence Tynes kick),0,7
,2:00,Chiefs,Lawrence Tynes 38 yard field goal,0,10
2.0,13:43,Chiefs,Eddie Kennison 8 yard pass from Trent Green (Lawrence Tynes kick),0,17
,4:41,Eagles,Sheldon Brown 40 yard interception return (pass failed),6,17
,4:27,Chiefs,Dante Hall 96 yard kickoff return (Lawrence Tynes kick),6,24
,1:14,Eagles,Terrell Owens 7 yard pass from Donovan McNabb (Todd France kick),13,24
3.0,12:14,Eagles,Todd France 44 yard field goal,16,24
,1:54,Eagles,Mike Bartrum 3 yard pass from Donovan McNabb (Brian Westbrook pass from Donovan McNabb),24,24
4.0,11:38,Eagles,Todd France 37 yard field goal,27,24
,8:57,Eagles,L.J. Smith 1 yard pass from Donovan McNabb (Todd France kick),34,24
,3:22,Eagles,Todd France 26 yard field goal,37,24
,1:24,Chiefs,Dante Hall 15 yard pass from Trent Green (Lawrence Tynes kick),37,31
