Unnamed: 0,PHI,KAN
First Downs,25,19
Rush-Yds-TDs,17-28-0,27-144-1
Cmp-Att-Yd-TD-INT,33-48-369-3-1,19-30-221-2-2
Sacked-Yards,1-1,3-12
Net Pass Yards,368,209
Total Yards,396,353
Fumbles-Lost,3-1,2-2
Turnovers,2,4
Penalties-Yards,3-25,6-40
Third Down Conv.,3-11,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,30:57,29:03
