Quarter,Time,Down,ToGo,Location,OAK,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, returned by Dwayne Harris for no gain (tackle by Clayton Fejedelem). Penalty on Cody Core: Illegal Use of Hands, 10 yards",0.000,0.810
1,15:00,1,10,OAK 28,0,0,Doug Martin left tackle for 9 yards (tackle by Hardy Nickerson),0.810,1.480
1,14:34,2,1,OAK 37,0,0,Derek Carr pass complete short left to Seth Roberts for 2 yards (tackle by Shawn Williams),1.480,1.530
1,14:09,1,10,OAK 39,0,0,"Penalty on Geno Atkins: Neutral Zone Infraction, 5 yards (no play)",1.530,2.260
1,13:47,1,5,OAK 44,0,0,Derek Carr pass incomplete short middle intended for Marcell Ateman (defended by Shawn Williams),2.260,1.660
1,13:43,2,5,OAK 44,0,0,Jalen Richard right end for -1 yards (tackle by Geno Atkins),1.660,0.830
1,13:06,3,6,OAK 43,0,0,Derek Carr pass incomplete deep right intended for Jared Cook,0.830,-0.520
1,13:01,4,6,OAK 43,0,0,"Johnny Townsend punts 38 yards, returned by Alex Erickson for 4 yards (tackle by Marquel Lee and Nick Nelson)",-0.520,-0.480
1,12:46,1,10,CIN 23,0,0,Joe Mixon left guard for 8 yards (tackle by Gareon Conley),0.480,1.010
1,12:10,2,2,CIN 31,0,0,"Penalty on Alex Redmond: False Start, 5 yards (no play)",1.010,0.340
1,11:57,2,7,CIN 26,0,0,Joe Mixon left tackle for -2 yards (tackle by Marquel Lee),0.340,-0.630
1,11:17,3,9,CIN 24,0,0,Jeff Driskel pass incomplete deep right intended for John Ross,-0.630,-1.770
1,11:11,4,9,CIN 24,0,0,"Kevin Huber punts 41 yards, returned by Dwayne Harris for no gain (tackle by Clayton Fejedelem and Brandon Wilson)",-1.770,-1.270
1,11:00,1,10,OAK 35,0,0,Derek Carr pass complete short right to Jordy Nelson for 9 yards (tackle by Darqueze Dennard),1.270,1.940
1,10:22,2,1,OAK 44,0,0,Derek Carr pass complete short middle to Jared Cook for 13 yards (tackle by Shawn Williams),1.940,2.720
1,9:42,1,10,CIN 43,0,0,Derek Carr pass incomplete deep right intended for Jordy Nelson (defended by Shawn Williams),2.720,2.180
1,9:37,2,10,CIN 43,0,0,Jalen Richard left end for 1 yard (tackle by Andrew Billings and Christian Ringo),2.180,1.620
1,8:58,3,9,CIN 42,0,0,"Derek Carr sacked by Sam Hubbard for -7 yards. Derek Carr fumbles (forced by Sam Hubbard), recovered by Carlos Dunlap at CIN-49 (tackle by Rodney Hudson)",1.620,-2.190
1,8:51,1,10,CIN 49,0,0,Jeff Driskel pass deep middle intended for John Ross is intercepted by Erik Harris at OAK-5 and returned for 1 yard,2.190,0.380
1,8:42,1,10,OAK 6,0,0,Doug Martin left tackle for 1 yard (tackle by Geno Atkins),-0.380,-0.710
1,8:03,2,9,OAK 7,0,0,Derek Carr pass incomplete short right,-0.710,-1.300
1,7:56,3,9,OAK 7,0,0,Derek Carr pass incomplete short middle intended for Marcell Ateman,-1.300,-2.490
1,7:49,4,9,OAK 7,0,0,"Johnny Townsend punts 38 yards, fair catch by Alex Erickson at OAK-45",-2.490,-2.590
1,7:42,1,10,OAK 45,0,0,Joe Mixon right guard for 2 yards (tackle by Jason Cabinda),2.590,2.310
1,7:06,2,8,OAK 43,0,0,Jeff Driskel pass complete short right to Joe Mixon for no gain (tackle by Maurice Hurst),2.310,1.620
1,6:26,3,8,OAK 43,0,0,Jeff Driskel pass complete short left to John Ross for 6 yards (tackle by Arden Key),1.620,0.790
1,5:44,4,2,OAK 37,0,0,Jeff Driskel pass complete short left to Tyler Boyd for 7 yards (tackle by Marquel Lee and Gareon Conley),0.790,3.580
1,5:05,1,10,OAK 30,0,0,Joe Mixon right end for 3 yards (tackle by Marquel Lee),3.580,3.440
1,4:28,2,7,OAK 27,0,0,Jeff Driskel pass complete short middle to Tyler Boyd for 21 yards (tackle by Rashaan Melvin),3.440,5.830
1,3:49,1,6,OAK 6,0,0,Joe Mixon right guard for -1 yards (tackle by Nicholas Morrow),5.830,4.760
1,3:07,2,7,OAK 7,0,0,Jeff Driskel pass incomplete short left intended for Joe Mixon,4.760,3.810
1,3:04,3,7,OAK 7,0,6,"Jeff Driskel pass complete short left to Tyler Boyd for 7 yards, touchdown",3.810,7.000
1,3:00,,,OAK 15,0,7,Randy Bullock kicks extra point good,0.000,0.000
1,3:00,,,CIN 35,0,7,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,3:00,1,10,OAK 25,0,7,Darren Waller right end for 21 yards (tackle by Jessie Bates),0.610,1.990
1,2:25,1,10,OAK 46,0,7,Derek Carr pass incomplete short right intended for Jalen Richard,1.990,1.450
1,2:21,2,10,OAK 46,0,7,Doug Martin left tackle for 2 yards (tackle by Jessie Bates and William Jackson),1.450,1.030
1,1:34,3,8,OAK 48,0,7,Derek Carr pass complete short middle to Jordy Nelson for 9 yards (tackle by Darqueze Dennard),1.030,2.720
1,1:06,1,10,CIN 43,0,7,Doug Martin right tackle for 1 yard (tackle by Nick Vigil),2.720,2.310
1,0:27,,,,,,Timeout #1 by Oakland Raiders,,
1,0:27,2,9,CIN 42,0,7,Derek Carr pass incomplete short left intended for Marcell Ateman (defended by William Jackson),2.310,1.620
1,0:22,3,9,CIN 42,0,7,Derek Carr pass incomplete short right,1.620,0.460
1,0:16,4,9,CIN 42,0,7,"Johnny Townsend punts 32 yards, fair catch by Alex Erickson at CIN-10",0.460,0.380
1,0:10,1,10,CIN 10,0,7,Joe Mixon up the middle for 8 yards (tackle by Arden Key and Tahir Whitehead),-0.380,0.070
Quarter,Time,Down,ToGo,Location,OAK,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,CIN 18,0,7,Jeff Driskel pass incomplete short middle intended for C.J. Uzomah (defended by Erik Harris),0.070,-0.480
2,14:58,3,2,CIN 18,0,7,Joe Mixon left guard for 7 yards (tackle by Nicholas Morrow),-0.480,0.610
2,14:20,1,10,CIN 25,0,7,"Joe Mixon left guard for no gain (tackle by Frostee Rucker). Penalty on Maurice Hurst: Defensive Offside, 5 yards (no play)",0.610,1.340
2,13:52,1,5,CIN 30,0,7,Jeff Driskel pass complete short right to Tyler Boyd for 3 yards (tackle by Erik Harris),1.340,1.140
2,13:16,2,2,CIN 33,0,7,Joe Mixon up the middle for 47 yards (tackle by Nicholas Morrow),1.140,4.240
2,12:54,1,10,OAK 20,0,7,Joe Mixon up the middle for 2 yards (tackle by P.J. Hall),4.240,3.960
2,12:10,2,8,OAK 18,0,7,Jeff Driskel pass incomplete deep right intended for Matt Lengel,3.960,3.220
2,12:06,3,8,OAK 18,0,7,Jeff Driskel left end for 15 yards (tackle by Damontre Moore),3.220,6.510
2,11:20,1,3,OAK 3,0,7,Joe Mixon right guard for 2 yards (tackle by Johnathan Hankins),6.510,5.910
2,11:01,2,1,OAK 1,0,7,Joe Mixon left guard for no gain (tackle by Marquel Lee and Emmanuel Lamur),5.910,5.170
2,10:24,3,1,OAK 1,0,7,Jeff Driskel pass incomplete short right intended for Sam Hubbard (defended by Frostee Rucker),5.170,3.550
2,10:20,4,1,OAK 1,0,13,"Joe Mixon up the middle for 1 yard, touchdown",3.550,7.000
2,10:17,,,OAK 15,0,14,Randy Bullock kicks extra point good,0.000,0.000
2,10:17,,,CIN 35,0,14,"Randy Bullock kicks off 64 yards, returned by Dwayne Harris for no gain (tackle by Malik Jefferson and Cody Core)",0.000,0.480
2,10:12,1,10,OAK 23,0,14,Derek Carr pass complete short right to Jalen Richard for 7 yards (tackle by Nick Vigil),0.480,0.880
2,9:38,2,3,OAK 30,0,14,"Jalen Richard left tackle for 4 yards (tackle by Darqueze Dennard and Hardy Nickerson). Jalen Richard fumbles (forced by Darqueze Dennard), recovered by Darqueze Dennard at OAK-34 (tackle by Denzelle Good)",0.880,-3.310
2,9:29,1,10,OAK 34,0,14,John Ross right end for 3 yards (tackle by Nicholas Morrow),3.310,3.180
2,8:50,2,7,OAK 31,0,14,Joe Mixon left guard for 6 yards (tackle by Tahir Whitehead and Karl Joseph),3.180,3.270
2,8:15,3,1,OAK 25,0,14,Joe Mixon right guard for 3 yards (tackle by Karl Joseph),3.270,4.110
2,7:36,1,10,OAK 22,0,14,Jeff Driskel pass incomplete short left intended for Matt Lengel,4.110,3.560
2,7:32,2,10,OAK 22,0,14,Giovani Bernard right guard for 6 yards (tackle by Nicholas Morrow and Tahir Whitehead),3.560,3.740
2,6:50,3,4,OAK 16,0,14,Jeff Driskel pass incomplete deep right intended for C.J. Uzomah,3.740,2.450
2,6:46,4,4,OAK 16,0,17,Randy Bullock 34 yard field goal good,2.450,3.000
2,6:41,,,CIN 35,0,17,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,6:41,1,10,OAK 25,0,17,"Penalty on Chaz Green: False Start, 5 yards (no play)",0.610,0.280
2,6:41,1,15,OAK 20,0,17,Derek Carr pass complete short right to Marcell Ateman for 8 yards (tackle by Dre Kirkpatrick),0.280,0.470
2,6:04,2,7,OAK 28,0,17,Derek Carr pass complete short middle to Seth Roberts for 20 yards (tackle by Dre Kirkpatrick),0.470,2.130
