Quarter,Time,Tm,Detail,PHI,ARI
1.0,4:39,Eagles,Jeremy Maclin 21 yard pass from Nick Foles (Cody Parkey kick),7,0
2.0,13:45,Cardinals,Andre Ellington 1 yard rush (Chandler Catanzaro kick),7,7
3.0,14:07,Cardinals,Larry Fitzgerald 80 yard pass from Carson Palmer (Chandler Catanzaro kick),7,14
,7:19,Eagles,Cody Parkey 54 yard field goal,10,14
,2:22,Eagles,Jeremy Maclin 54 yard pass from Nick Foles (Cody Parkey kick),17,14
4.0,9:01,Cardinals,Chandler Catanzaro 28 yard field goal,17,17
,1:56,Eagles,Cody Parkey 20 yard field goal,20,17
,1:21,Cardinals,John Brown 75 yard pass from Carson Palmer (Chandler Catanzaro kick),20,24
