Unnamed: 0,PHI,ARI
First Downs,27,17
Rush-Yds-TDs,25-110-0,23-71-1
Cmp-Att-Yd-TD-INT,36-62-411-2-2,20-42-329-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,411,329
Total Yards,521,400
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,11-103,10-95
Third Down Conv.,9-20,7-17
Fourth Down Conv.,1-1,1-1
Time of Possession,31:10,28:50
