Unnamed: 0,DAL,NOR
First Downs,21,13
Rush-Yds-TDs,23-85-0,24-58-0
Cmp-Att-Yd-TD-INT,27-47-290-1-3,15-33-243-1-0
Sacked-Yards,3-23,2-10
Net Pass Yards,267,233
Total Yards,352,291
Fumbles-Lost,2-0,0-0
Turnovers,3,0
Penalties-Yards,7-44,7-60
Third Down Conv.,9-17,6-17
Fourth Down Conv.,0-1,1-1
Time of Possession,31:56,28:04
