Quarter,Time,Tm,Detail,DAL,NOR
1.0,7:01,Saints,John Carney 24 yard field goal,0,3
2.0,8:50,Cowboys,Richie Anderson 3 yard pass from Quincy Carter (Billy Cundiff kick),7,3
,8:23,Saints,Donte' Stallworth 76 yard pass from Aaron Brooks (John Carney kick),7,10
3.0,11:57,Saints,John Carney 27 yard field goal,7,13
