Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA
1,4:42,2,4,JAX 42,0,7,David Garrard pass complete short middle to Ernest Wilford for 19 yards (tackle by Andre' Goodman),1.600,2.980
1,3:53,1,10,MIA 39,0,7,Fred Taylor middle for 4 yards (tackle by Zach Thomas),2.980,2.980
1,3:10,2,6,MIA 35,0,7,David Garrard pass complete short right to Kyle Brady for 1 yard (tackle by Donnie Spragan),2.980,2.410
1,2:26,3,5,MIA 34,0,7,David Garrard pass complete short left to Matt Jones for 20 yards (tackle by Travis Daniels),2.410,4.650
1,1:50,1,10,MIA 14,0,7,David Garrard right end for 1 yard (tackle by Donnie Spragan),4.650,4.160
1,1:00,2,9,MIA 13,0,7,David Garrard sacked by Jason Taylor for -7 yards,4.160,2.610
1,0:18,3,16,MIA 20,0,7,David Garrard sacked by Kevin Carter and David Bowens for -10 yards,2.610,1.410
1,0:02,,,,0,7,Timeout #1 by Jacksonville Jaguars,0.000,1.410
1,0:02,4,26,MIA 30,3,7,Josh Scobee 48 yard field goal good,1.410,3.000
Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,JAX 30,3,7,"Josh Scobee kicks off 63 yards, returned by Wes Welker for 26 yards (tackle by Josh Scobee)",0.000,1.140
2,14:54,1,10,MIA 33,3,7,Sammy Morris right guard for 17 yards (tackle by Gerald Sensabaugh and Deon Grant),1.140,2.260
2,14:21,1,10,JAX 50,3,7,Sammy Morris right end for -1 yards (tackle by Marcellus Wiley),2.260,1.580
2,13:41,2,11,MIA 49,3,7,Joey Harrington pass complete short left to Chris Chambers for 3 yards (tackle by Rashean Mathis),1.580,1.290
2,12:58,3,8,JAX 48,3,7,Joey Harrington pass incomplete intended for Chris Chambers,1.290,0.070
2,12:52,4,8,JAX 48,3,7,"Donnie Jones punts 36 yards, fair catch by Alvin Pearman",0.070,0.350
2,12:44,1,10,JAX 12,3,7,David Garrard pass complete short right to Reggie Williams for 5 yards (tackle by Will Allen),-0.350,-0.230
2,12:06,2,5,JAX 17,3,7,David Garrard pass incomplete short left intended for Reggie Williams (defended by Jason Taylor),-0.230,-0.840
2,12:02,3,5,JAX 17,3,7,David Garrard middle for 5 yards (tackle by Renaldo Hill),-0.840,0.410
2,11:20,1,10,JAX 22,3,7,David Garrard pass incomplete short left intended for Ernest Wilford (defended by Jason Taylor),0.410,-0.130
2,11:16,2,10,JAX 22,3,7,"David Garrard pass complete short right to Matt Jones for 14 yards. Penalty on Matt Jones: Offensive Pass Interfere, 10 yards (no play)",-0.130,-1.510
2,10:59,2,20,JAX 12,3,7,David Garrard pass complete short left to Reggie Williams for 7 yards (tackle by Will Allen and Travis Daniels),-1.510,-1.290
2,10:12,3,13,JAX 19,3,7,David Garrard pass incomplete short right intended for Reggie Williams (defended by Renaldo Hill),-1.290,-2.140
2,10:05,4,13,JAX 19,3,7,"Chris Hanson punts 36 yards, fair catch by Wes Welker",-2.140,-1.930
2,9:57,1,10,MIA 45,3,7,Joey Harrington pass complete deep right to Chris Chambers for 46 yards (tackle by Rashean Mathis and Gerald Sensabaugh). Penalty on Rashean Mathis: Illegal Contact (Declined),1.930,5.140
2,9:39,1,9,JAX 9,3,7,Sammy Morris right tackle for no gain (tackle by Clint Ingram and Marcellus Wiley),5.140,4.380
2,9:01,2,9,JAX 9,3,7,"Joey Harrington pass incomplete short left intended for Marty Booker. Penalty on Rashean Mathis: Illegal Contact, 5 yards (no play)",4.380,6.280
2,8:53,1,4,JAX 4,3,7,Sammy Morris middle for -1 yards (tackle by Paul Spicer and Daryl Smith),6.280,5.150
2,8:16,2,5,JAX 5,3,7,Joey Harrington pass incomplete short right intended for Chris Chambers,5.150,4.260
2,8:12,3,5,JAX 5,3,7,Joey Harrington pass incomplete short right intended for Chris Chambers is intercepted by Gerald Sensabaugh and returned for 8 yards,4.260,0.380
2,8:03,1,10,JAX 5,3,7,Fred Taylor right guard for 7 yards (tackle by Renaldo Hill),-0.380,-0.270
2,7:32,2,3,JAX 12,3,7,Fred Taylor right guard for 4 yards (tackle by Zach Thomas),-0.270,-0.140
2,6:52,1,10,JAX 16,3,7,David Garrard pass complete short left to Matt Jones for 17 yards (tackle by Will Allen),-0.140,1.140
2,6:04,1,10,JAX 33,3,7,David Garrard pass complete deep left to Matt Jones for 23 yards,1.140,2.650
2,5:42,1,10,MIA 44,3,7,Fred Taylor middle for 3 yards (tackle by Renaldo Hill and Keith Traylor),2.650,2.520
2,5:03,2,7,MIA 41,3,7,David Garrard pass complete short right to Reggie Williams for 13 yards (tackle by Renaldo Hill),2.520,3.710
2,4:20,1,10,MIA 28,3,7,David Garrard pass complete short right to Derrick Wimbush for 9 yards (tackle by Zach Thomas),3.710,4.420
2,3:36,2,1,MIA 19,3,7,Fred Taylor right end for 2 yards (tackle by Channing Crowder),4.420,4.440
2,2:56,1,10,MIA 17,3,7,David Garrard sacked by Jason Taylor and Donnie Spragan for 0 yards,4.440,3.850
2,2:02,2,10,MIA 17,3,7,Maurice Jones-Drew middle for 2 yards (tackle by Zach Thomas),3.850,3.340
2,1:57,3,8,MIA 15,9,7,"David Garrard pass complete short left to Matt Jones for 15 yards, touchdown",3.340,7.000
2,,,,MIA 2,10,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,10,7,"Josh Scobee kicks off 63 yards, muffed catch by Wes Welker, ball out of bounds at MIA-9",0.000,-0.380
2,1:46,1,10,MIA 9,10,7,Sammy Morris left tackle for 9 yards (tackle by Gerald Sensabaugh),-0.380,0.140
2,1:15,2,1,MIA 18,10,7,Sammy Morris left end for 5 yards (tackle by Clint Ingram),0.140,0.480
2,0:50,1,10,MIA 23,10,7,Joey Harrington pass incomplete deep right intended for Chris Chambers is intercepted by Rashean Mathis at MIA-40 and returned for 7 yards,0.480,-3.380
2,0:38,1,10,MIA 33,10,7,David Garrard left end for 17 yards (tackle by Jason Allen),3.380,4.510
2,0:23,1,10,MIA 16,16,7,"David Garrard pass complete short middle to George Wrighster for 16 yards, touchdown",4.510,7.000
2,,,,MIA 2,17,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,17,7,"Josh Scobee kicks off 41 yards, returned by David Bowens for 11 yards (tackle by Jorge Cordova)",0.000,1.600
2,0:10,1,10,MIA 40,17,7,Joey Harrington pass incomplete,1.600,1.050
2,0:04,2,10,MIA 40,17,7,Joey Harrington kneels for -1 yards,1.050,0.230
Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,17,7,"Olindo Mare kicks off 65 yards, returned by Maurice Jones-Drew for 37 yards (tackle by Andre' Goodman)",0.000,1.730
3,14:53,1,10,JAX 42,17,7,"David Garrard pass incomplete deep right intended for Matt Jones (defended by Andre' Goodman). Penalty on Maurice Williams: Offensive Holding, 10 yards (no play)",1.730,1.070
3,14:44,1,20,JAX 32,17,7,Fred Taylor middle for 1 yard (tackle by Channing Crowder),1.070,-0.030
3,14:06,2,19,JAX 33,17,7,David Garrard pass complete short left to Reggie Williams for 10 yards (tackle by Will Allen),-0.030,0.630
3,13:24,3,9,JAX 43,17,7,"David Garrard pass complete deep middle to Matt Jones for 33 yards (tackle by Andre' Goodman). Matt Jones fumbles (forced by Andre' Goodman), recovered by Will Allen at MIA-17 (tackle by Maurice Jones-Drew)",0.630,0.060
3,13:11,1,10,MIA 17,17,7,Joey Harrington pass complete short right to Chris Chambers for 6 yards (tackle by Clint Ingram),-0.060,0.350
3,12:45,2,4,MIA 23,17,7,Sammy Morris middle for 2 yards (tackle by Paul Spicer),0.350,-0.240
3,12:08,3,2,MIA 25,17,7,Joey Harrington sacked by Marcus Stroud for -7 yards,-0.240,-2.240
3,11:45,4,9,MIA 18,17,7,"Donnie Jones punts 44 yards, returned by Alvin Pearman for -2 yards (tackle by Keith Adams). Penalty on Jorge Cordova: Illegal Block Above the , 10 yards",-2.240,-0.670
3,11:33,1,10,JAX 26,17,7,Fred Taylor middle for 8 yards (tackle by Zach Thomas and Channing Crowder),0.670,1.210
3,10:59,2,2,JAX 34,17,7,Fred Taylor right guard for -1 yards (tackle by Jeff Zgonina),1.210,0.370
3,10:15,3,3,JAX 33,17,7,David Garrard left tackle for 4 yards (tackle by Jason Allen),0.370,1.400
3,9:32,1,10,JAX 37,17,7,David Garrard pass incomplete deep right intended for Ernest Wilford,1.400,0.860
3,9:25,2,10,JAX 37,17,7,Maurice Jones-Drew middle for 2 yards (tackle by Channing Crowder and Vonnie Holliday),0.860,0.430
3,8:46,3,8,JAX 39,17,7,David Garrard pass incomplete deep left intended for Matt Jones,0.430,-0.780
3,8:38,4,8,JAX 39,17,7,Chris Hanson punts 34 yards,-0.780,-0.740
3,8:30,1,10,MIA 27,17,7,Joey Harrington pass complete short left to Chris Chambers for 9 yards (tackle by Rashean Mathis),0.740,1.410
3,8:01,2,1,MIA 36,17,7,Travis Minor right tackle for 2 yards (tackle by Marcus Stroud),1.410,1.470
3,7:21,1,10,MIA 38,17,7,Joey Harrington pass complete deep right to Marty Booker for 16 yards,1.470,2.520
3,6:57,1,10,JAX 46,17,7,Travis Minor left tackle for 6 yards (tackle by Deon Grant),2.520,2.790
3,6:17,2,4,JAX 40,17,7,Travis Minor left guard for 5 yards (tackle by Deon Grant and Marcellus Wiley),2.790,3.250
3,5:34,1,10,JAX 35,17,7,Joey Harrington pass incomplete short right intended for Sammy Morris,3.250,2.700
3,5:27,2,10,JAX 35,17,7,Joey Harrington pass complete short left to Chris Chambers for 9 yards (tackle by Rashean Mathis),2.700,3.200
3,4:49,3,1,JAX 26,17,7,Sammy Morris middle for 3 yards (tackle by John Henderson),3.200,4.040
3,4:08,1,10,JAX 23,17,7,Joey Harrington pass incomplete short right intended for Randy McMichael,4.040,3.500
3,4:01,2,10,JAX 23,17,7,Joey Harrington sacked by Rob Meier for -5 yards,3.500,2.150
3,3:24,3,15,JAX 28,17,7,Joey Harrington pass complete short right to Wes Welker for 4 yards (tackle by Daryl Smith),2.150,1.870
3,2:49,4,11,JAX 24,17,7,Olindo Mare 42 yard field goal no good,1.870,-1.070
3,2:43,1,10,JAX 32,17,7,Fred Taylor left tackle for 2 yards (tackle by Zach Thomas and Yeremiah Bell),1.070,0.800
3,2:00,2,8,JAX 34,17,7,David Garrard pass incomplete short middle intended for Ernest Wilford,0.800,0.100
3,1:54,3,8,JAX 34,17,7,"Penalty on Matt Jones: False Start, 5 yards (no play)",0.100,-0.560
3,1:54,3,13,JAX 29,17,7,David Garrard sacked by Vonnie Holliday and David Bowens for -9 yards,-0.560,-2.030
3,1:25,4,22,JAX 20,17,7,"Chris Hanson punts 45 yards, returned by Wes Welker for 2 yards (tackle by Scott Starks)",-2.030,-1.400
3,1:13,1,10,MIA 37,17,7,Joey Harrington sacked by Kenneth Pettway for -7 yards,1.400,-0.090
3,0:34,2,17,MIA 30,17,7,Joey Harrington pass incomplete short right intended for Sammy Morris,-0.090,-0.760
3,0:29,3,17,MIA 30,17,7,"Penalty on Jorge Cordova: Defensive Offside, 5 yards (no play)",-0.760,-0.100
3,0:29,3,12,MIA 35,17,7,Joey Harrington pass complete to Marty Booker for 15 yards,-0.100,2.260
3,0:10,1,10,MIA 50,17,7,"Sammy Morris left end for 4 yards (tackle by Nick Greisen). Penalty on Justin Peelle: Offensive Holding, 10 yards (no play)",2.260,1.600
Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,MIA 40,17,7,Joey Harrington pass complete short left to Sammy Morris for 8 yards (tackle by Clint Ingram),1.600,1.440
4,14:19,2,12,MIA 48,17,7,Joey Harrington pass complete short right to Wes Welker for 7 yards (tackle by Gerald Sensabaugh),1.440,1.690
4,13:54,3,5,JAX 45,17,7,Joey Harrington sacked by Bobby McCray for -7 yards,1.690,-0.190
4,13:28,4,12,MIA 48,17,7,Donnie Jones punts 43 yards,-0.190,0.380
4,13:19,1,10,JAX 9,17,7,Fred Taylor middle for 3 yards (tackle by Zach Thomas),-0.380,-0.560
4,12:45,2,7,JAX 12,17,7,Fred Taylor left tackle for 13 yards (tackle by Renaldo Hill and Andre' Goodman),-0.560,0.610
4,11:54,1,10,JAX 25,17,7,Fred Taylor middle for 1 yard (tackle by Vonnie Holliday),0.610,0.200
4,11:11,2,9,JAX 26,17,7,Maurice Jones-Drew left guard for 4 yards (tackle by Zach Thomas and Channing Crowder),0.200,0.040
4,10:24,3,5,JAX 30,17,7,David Garrard pass complete deep left to Matt Jones for 20 yards (tackle by Jason Allen),0.040,2.260
4,9:34,1,10,MIA 50,17,7,Fred Taylor right tackle for 1 yard (tackle by Jeff Zgonina and Renaldo Hill),2.260,1.850
4,8:50,2,9,MIA 49,17,7,David Garrard pass complete short right to Ernest Wilford for 14 yards,1.850,3.250
4,8:20,1,10,MIA 35,17,7,Fred Taylor middle for 3 yards (tackle by Jeff Zgonina),3.250,3.110
4,7:40,2,7,MIA 32,23,7,"Maurice Jones-Drew right guard for 32 yards, touchdown",3.110,7.000
4,,,,MIA 2,24,7,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,24,7,Josh Scobee kicks off 68 yards,0.000,1.600
4,7:30,1,10,MIA 40,24,7,Joey Harrington pass complete short left to Sammy Morris for 5 yards (tackle by Clint Ingram),1.600,1.730
4,7:02,2,5,MIA 45,24,7,Joey Harrington pass complete short right to Chris Chambers for 18 yards (tackle by Daryl Smith),1.730,3.120
4,6:29,1,10,JAX 37,24,7,Joey Harrington pass complete short right to Randy McMichael for 2 yards (tackle by Rashean Mathis),3.120,2.840
4,6:00,2,8,JAX 35,24,7,Joey Harrington pass complete short left to Sammy Morris for 7 yards (tackle by Gerald Sensabaugh),2.840,3.070
4,5:34,3,1,JAX 28,24,7,Travis Minor right tackle for 4 yards (tackle by Terry Cousin and Clint Ingram),3.070,3.970
4,5:04,1,10,JAX 24,24,7,Joey Harrington pass complete short middle to Travis Minor for -4 yards (tackle by John Henderson),3.970,2.890
4,4:36,2,14,JAX 28,24,7,Joey Harrington pass incomplete deep left intended for Chris Chambers,2.890,2.210
4,4:30,3,14,JAX 28,24,7,Joey Harrington pass complete short right to Travis Minor for 4 yards (tackle by Brian Williams),2.210,1.870
4,3:50,4,10,JAX 24,24,10,Olindo Mare 42 yard field goal good,1.870,3.000
4,,,,MIA 30,24,10,Olindo Mare kicks onside 15 yards (onside kick successful),0.000,1.930
4,3:38,1,10,MIA 45,24,10,Joey Harrington pass complete short right to Wes Welker for 13 yards (tackle by Daryl Smith and Terry Cousin),1.930,2.790
4,3:20,1,10,JAX 42,24,10,Joey Harrington pass complete to Chris Chambers for 24 yards (tackle by Terry Cousin and Deon Grant),2.790,4.370
4,2:55,1,10,JAX 18,24,10,Joey Harrington pass incomplete deep right intended for Chris Chambers (defended by Rashean Mathis),4.370,3.800
4,2:42,2,10,JAX 18,24,10,Joey Harrington pass incomplete deep left intended for Derek Hagan,3.800,3.050
4,2:39,3,10,JAX 18,24,10,Joey Harrington pass complete short right to Marty Booker for 10 yards (tackle by Brian Williams),3.050,5.370
4,2:02,1,8,JAX 8,24,10,Joey Harrington pass incomplete short right intended for Marty Booker,5.370,4.570
4,1:58,2,8,JAX 8,24,10,Joey Harrington pass incomplete short middle intended for Wes Welker,4.570,3.580
4,1:53,3,8,JAX 8,24,10,Joey Harrington pass complete short middle to Marty Booker for 3 yards (tackle by Paul Spicer),3.580,3.010
4,1:46,,,,24,10,Timeout #1 by Miami Dolphins,0.000,3.010
4,1:46,4,5,JAX 5,24,10,Joey Harrington pass incomplete short right intended for Marty Booker (defended by Brian Williams),3.010,0.380
4,1:41,1,10,JAX 5,24,10,Fred Taylor middle for 4 yards (tackle by Andre' Goodman),-0.380,-0.490
4,1:35,,,,24,10,Timeout #2 by Miami Dolphins,0.000,-0.490
4,1:35,2,6,JAX 9,24,10,Fred Taylor middle for 1 yard (tackle by Jason Taylor),-0.490,-0.840
4,1:28,,,,24,10,Timeout #3 by Miami Dolphins,0.000,-0.840
4,1:28,3,5,JAX 10,24,10,"Fred Taylor for 12 yards (tackle by Andre' Goodman). Penalty on Fred Taylor: Face Mask (15 Yards), 15 yards",-0.840,-0.720
4,1:18,3,4,JAX 11,24,10,Maurice Jones-Drew middle for 6 yards (tackle by Zach Thomas),-0.720,-0.060
4,0:46,1,10,JAX 17,24,10,David Garrard kneels for -2 yards,-0.060,-0.850
4,0:20,2,12,JAX 15,24,10,David Garrard kneels for -1 yards,-0.850,-1.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
