Unnamed: 0,JAX,MIA
First Downs,18,20
Rush-Yds-TDs,31-150-1,19-68-0
Cmp-Att-Yd-TD-INT,16-22-229-2-0,27-42-267-1-2
Sacked-Yards,4-26,4-26
Net Pass Yards,203,241
Total Yards,353,309
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,7-60,1-10
Third Down Conv.,7-12,7-14
Fourth Down Conv.,0-0,0-1
Time of Possession,30:56,29:04
