Quarter,Time,Tm,Detail,JAX,MIA
1.0,7:40,Dolphins,Marty Booker 17 yard pass from Joey Harrington (Olindo Mare kick),0,7
,0:00,Jaguars,Josh Scobee 48 yard field goal,3,7
2.0,1:50,Jaguars,Matt Jones 15 yard pass from David Garrard (Josh Scobee kick),10,7
,0:14,Jaguars,George Wrighster 16 yard pass from David Garrard (Josh Scobee kick),17,7
4.0,7:30,Jaguars,Maurice Jones-Drew 32 yard rush (Josh Scobee kick),24,7
,3:45,Dolphins,Olindo Mare 42 yard field goal,24,10
