Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NYG 20,0,0,Andre Williams up the middle for 3 yards (tackle by Michael Brockers),0.280,0.140
1,14:30,2,7,NYG 23,0,0,Eli Manning pass complete short right to Larry Donnell for 11 yards (tackle by T.J. McDonald),0.140,1.200
1,13:44,1,10,NYG 34,0,0,Andre Williams left end for -1 yards (tackle by James Laurinaitis),1.200,0.520
1,13:15,2,11,NYG 33,0,0,Eli Manning pass complete deep middle to Rueben Randle for 49 yards (tackle by Rodney McLeod),0.520,4.370
1,12:31,1,10,STL 18,0,0,Andre Williams right guard for -1 yards (tackle by Alec Ogletree and Mark Barron),4.370,3.670
1,12:09,2,11,STL 19,0,0,Odell Beckham right end for no gain (tackle by Mark Barron),3.670,2.970
1,11:23,3,11,STL 19,0,0,Eli Manning pass complete short left to Odell Beckham for 8 yards (tackle by Eugene Sims),2.970,2.800
1,10:44,4,3,STL 11,3,0,Josh Brown 29 yard field goal good,2.800,3.000
1,10:44,,,NYG 35,3,0,"Josh Brown kicks off 67 yards, returned by Benny Cunningham for 21 yards (tackle by Orleans Darkwa). Benny Cunningham fumbles, recovered by Nat Berhe at STL-21",0.000,4.170
1,10:34,1,10,STL 21,3,0,Eli Manning pass incomplete short middle intended for Andre Williams,4.170,3.630
1,10:29,2,10,STL 21,3,0,Andre Williams up the middle for 4 yards (tackle by Robert Quinn),3.630,3.460
1,9:55,3,6,STL 17,3,0,"Eli Manning pass complete short middle to Preston Parker for 8 yards (tackle by E.J. Gaines). Penalty on Will Beatty: Offensive Holding, 10 yards (no play)",3.460,2.150
1,9:32,3,16,STL 27,3,0,Eli Manning pass complete deep right to Rueben Randle for 16 yards (tackle by Trumaine Johnson),2.150,4.840
1,8:47,1,10,STL 11,3,0,Eli Manning pass complete short left to Odell Beckham for 2 yards (tackle by Janoris Jenkins),4.840,4.510
1,8:28,2,8,STL 9,9,0,"Eli Manning pass complete short right to Odell Beckham for 9 yards, touchdown. Penalty on Odell Beckham: Taunting, 15 yards",4.510,7.000
1,8:28,,,STL 2,10,0,Josh Brown kicks extra point good,0.000,0.000
1,8:28,,,NYG 20,10,0,"Josh Brown kicks off 65 yards, returned by Benny Cunningham for 22 yards (tackle by Spencer Paysinger). Penalty on Josh Brown: Unnecessary Roughness, 15 yards",0.000,-2.390
1,8:17,1,10,NYG 48,10,0,Shaun Hill pass complete short right to Stedman Bailey for 5 yards (tackle by Mark Herzlich),2.390,2.520
1,7:39,2,5,NYG 43,10,0,Tre Mason up the middle for 9 yards (tackle by Mark Herzlich),2.520,3.310
1,6:57,1,10,NYG 34,10,0,Tavon Austin right end for 5 yards (tackle by Devon Kennard),3.310,3.450
1,6:23,2,5,NYG 29,10,0,Shaun Hill pass complete short right to Cory Harkey for 1 yard (tackle by Mark Herzlich),3.450,2.870
1,5:40,3,4,NYG 28,10,0,Shaun Hill sacked by Jason Pierre-Paul for -5 yards,2.870,1.150
1,4:58,4,9,NYG 33,10,3,Greg Zuerlein 51 yard field goal good,1.150,3.000
1,4:58,,,STL 35,10,3,"Greg Zuerlein kicks off 64 yards, returned by Preston Parker for 24 yards (tackle by Mark Barron). Penalty on Daren Bates: Offside on Free Kick, 5 yards",0.000,-0.940
1,4:47,1,10,NYG 30,10,3,Andre Williams up the middle for 5 yards (tackle by James Laurinaitis),0.940,1.070
1,4:05,2,5,NYG 35,10,3,Eli Manning pass complete short left to Daniel Fells for 12 yards (tackle by Rodney McLeod),1.070,2.060
1,3:23,1,10,NYG 47,10,3,Andre Williams right tackle for 1 yard (tackle by T.J. McDonald),2.060,1.650
1,2:43,2,9,NYG 48,10,3,Eli Manning sacked by T.J. McDonald for -5 yards,1.650,0.300
1,2:00,3,14,NYG 43,10,3,Eli Manning pass complete short left to Larry Donnell for 4 yards (tackle by E.J. Gaines). Penalty on Preston Parker: Offensive Pass Interference (Declined),0.300,-0.260
1,1:52,4,10,NYG 47,10,3,"Steve Weatherford punts 47 yards, returned by Tavon Austin for 41 yards (tackle by Mark Herzlich)",-0.260,-2.060
1,1:39,1,10,STL 47,10,3,Tre Mason up the middle for 16 yards (tackle by Antrel Rolle),2.060,3.120
1,1:05,1,10,NYG 37,10,3,Shaun Hill pass incomplete short right intended for Tavon Austin is intercepted by Kerry Wynn at NYG-37 and returned for 7 yards,3.120,-1.860
1,0:54,1,10,NYG 44,10,3,Andre Williams right guard for 6 yards (tackle by Robert Quinn),1.860,2.130
1,0:34,2,4,,10,3,Andre Williams up the middle for 1 yard (tackle by Alec Ogletree),2.130,1.550
Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,STL 49,10,3,Eli Manning pass complete deep left to Larry Donnell for 23 yards (tackle by Alec Ogletree),1.550,3.840
,,,,,,,"NYG challenged the incomplete pass ruling, and the original play was overturned.",,
2,14:31,1,10,STL 26,10,3,Eli Manning pass incomplete short middle intended for Larry Donnell,3.840,3.300
2,14:31,2,10,STL 26,10,3,"Eli Manning pass complete short right to Odell Beckham for 14 yards (tackle by Trumaine Johnson). Penalty on Will Beatty: Offensive Holding, 10 yards (no play)",3.300,1.950
2,14:00,2,20,STL 36,10,3,Eli Manning pass complete short right to Preston Parker for 7 yards (tackle by Lamarcus Joyner),1.950,2.210
2,13:16,3,13,STL 29,10,3,Eli Manning pass complete short right to Preston Parker for 10 yards (tackle by Trumaine Johnson),2.210,2.280
2,12:44,4,3,STL 19,13,3,Josh Brown 37 yard field goal good,2.280,3.000
2,12:44,,,NYG 35,13,3,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
2,12:39,1,10,STL 20,13,3,Shaun Hill pass complete deep right to Kenny Britt for 18 yards (tackle by Zackary Bowman),0.280,1.470
2,12:04,1,10,STL 38,13,3,Zac Stacy left tackle for 5 yards (tackle by Devon Kennard and Johnathan Hankins),1.470,1.600
2,11:24,2,5,STL 43,13,3,Zac Stacy up the middle for 1 yard (tackle by Jason Pierre-Paul),1.600,1.020
2,10:44,3,4,STL 44,13,3,Shaun Hill pass incomplete short right intended for Kenny Britt,1.020,-0.460
2,10:39,4,4,STL 44,13,3,"Johnny Hekker punts 56 yards, touchback",-0.460,-0.280
2,10:27,1,10,NYG 20,13,3,Andre Williams right tackle for 2 yards (tackle by Kendall Langford),0.280,0.000
2,9:43,2,8,NYG 22,13,3,Andre Williams up the middle for 4 yards (tackle by James Laurinaitis),0.000,-0.160
2,9:08,3,4,NYG 26,13,3,Eli Manning pass complete short right to Preston Parker for 15 yards (tackle by Rodney McLeod),-0.160,1.660
2,8:22,1,10,NYG 41,13,3,Orleans Darkwa right guard for 7 yards (tackle by T.J. McDonald and Alec Ogletree),1.660,2.070
2,7:49,2,3,NYG 48,13,3,Orleans Darkwa up the middle for 2 yards (tackle by Chris Long),2.070,1.620
2,7:15,3,1,,13,3,Andre Williams left tackle for 2 yards (tackle by Jo-Lonn Dunbar),1.620,2.390
2,6:33,1,10,STL 48,13,3,Andre Williams right tackle for no gain (tackle by Mark Barron),2.390,1.850
2,5:51,2,10,STL 48,13,3,Eli Manning pass complete deep right to Rueben Randle for 19 yards (tackle by Rodney McLeod),1.850,3.640
2,5:26,1,10,STL 29,13,3,"Eli Manning pass complete short left to Odell Beckham for 5 yards (tackle by T.J. McDonald). Penalty on T.J. McDonald: Taunting, 12 yards",3.640,3.640
2,4:55,1,10,STL 29,13,3,Timeout #1 by New York Giants,3.640,4.780
2,4:55,1,10,STL 12,19,3,"Orleans Darkwa left tackle for 12 yards, touchdown",4.780,7.000
2,4:55,,,STL 2,20,3,Josh Brown kicks extra point good,0.000,0.000
2,4:55,,,NYG 35,20,3,"Josh Brown kicks off 46 yards, returned by Tim Barnes for 7 yards (tackle by Adrien Robinson)",0.000,-0.670
2,4:45,1,10,STL 26,20,3,Tre Mason right guard for 1 yard (tackle by Jameel McClain),0.670,0.270
2,4:13,2,9,STL 27,20,3,Shaun Hill pass complete deep right to Kenny Britt for 27 yards (tackle by Charles Brown),0.270,2.520
2,3:57,1,10,NYG 46,20,3,Tre Mason right guard for 3 yards (tackle by Devon Kennard),2.520,2.380
2,3:19,2,7,NYG 43,20,3,Tre Mason up the middle for 2 yards (tackle by Kerry Wynn),2.380,1.950
2,2:42,3,5,NYG 41,20,3,"Shaun Hill pass incomplete deep right intended for Tavon Austin is intercepted by Dominique Rodgers-Cromartie at NYG-11 and returned for 20 yards. Penalty on Dominique Rodgers-Cromartie: Defensive Pass Interference, 26 yards (no play)",1.950,4.580
2,2:25,1,10,NYG 15,20,3,"Penalty on Johnathan Hankins: Encroachment, 5 yards (no play)",4.580,5.740
2,2:25,1,5,NYG 10,20,9,"Tre Mason left end for 10 yards, touchdown. Penalty on Antrel Rolle: Face Mask (15 Yards), 15 yards",5.740,7.000
2,2:25,,,NYG 2,20,10,Greg Zuerlein kicks extra point good,0.000,0.000
2,2:25,,,NYG 10,20,10,--,0.000,-0.280
2,2:10,1,10,NYG 20,20,10,"Eli Manning pass complete short right to Odell Beckham for 6 yards (tackle by Alec Ogletree). Penalty on Alec Ogletree: Unsportsmanlike Conduct (Offsetting), Penalty on NYG: Unnecessary Roughness (Offsetting), Penalty on NYG: Unnecessary Roughness, 13 yards (Offsetting), Penalty on Preston Parker: Disqualification (Offsetting), Penalty on Damontre Moore: Disqualification (Offsetting), Penalty on William Hayes: Disqualification (Offsetting)",0.280,-1.280
2,2:03,2,17,NYG 13,20,10,Andre Williams up the middle for 6 yards (tackle by E.J. Gaines and Michael Brockers),-1.280,-1.140
2,1:57,3,11,NYG 19,20,10,Eli Manning pass complete short right to Larry Donnell for 4 yards (tackle by Alec Ogletree),-1.140,-1.140
2,1:48,3,11,NYG 19,20,10,Timeout #1 by St. Louis Rams,-1.140,-1.830
2,1:48,4,7,NYG 23,20,10,"Steve Weatherford punts 54 yards, returned by Tavon Austin for 17 yards (tackle by Orleans Darkwa). Penalty on Zak DeOssie: Unnecessary Roughness (Offsetting), Penalty on Maurice Alexander: Illegal Block Above the Waist (Offsetting)",-1.830,-1.600
2,1:36,1,10,STL 40,20,10,Shaun Hill pass complete short right to Kenny Britt for 5 yards (tackle by Dominique Rodgers-Cromartie),1.600,1.730
2,1:17,2,5,STL 45,20,10,Shaun Hill pass complete short middle to Benny Cunningham for 8 yards (tackle by Marcus Harris),1.730,2.460
2,0:59,1,10,NYG 47,20,10,Shaun Hill pass incomplete short left intended for Jared Cook,2.460,1.910
