Quarter,Time,Tm,Detail,NYG,STL
1.0,10:41,Giants,Josh Brown 29 yard field goal,3,0
,8:24,Giants,Odell Beckham Jr. 9 yard pass from Eli Manning (Josh Brown kick),10,0
,4:52,Rams,Greg Zuerlein 51 yard field goal,10,3
2.0,12:39,Giants,Josh Brown 37 yard field goal,13,3
,4:49,Giants,Orleans Darkwa 12 yard rush (Josh Brown kick),20,3
,2:18,Rams,Tre Mason 10 yard rush (Greg Zuerlein kick),20,10
,0:00,Rams,Greg Zuerlein 20 yard field goal,20,13
3.0,7:29,Giants,Rueben Randle 7 yard pass from Eli Manning (Josh Brown kick),27,13
,1:44,Rams,Lance Kendricks 23 yard pass from Shaun Hill (Greg Zuerlein kick),27,20
,0:45,Giants,Odell Beckham Jr. 80 yard pass from Eli Manning (Josh Brown kick),34,20
4.0,8:29,Giants,Josh Brown 52 yard field goal,37,20
,3:56,Rams,Chris Givens 47 yard pass from Shaun Hill (Greg Zuerlein kick),37,27
