Unnamed: 0,NYG,STL
First Downs,19,23
Rush-Yds-TDs,34-128-1,20-106-1
Cmp-Att-Yd-TD-INT,25-32-391-3-0,24-32-290-2-1
Sacked-Yards,1-5,2-9
Net Pass Yards,386,281
Total Yards,514,387
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,12-149,9-76
Third Down Conv.,8-17,1-6
Fourth Down Conv.,0-0,0-0
Time of Possession,34:47,25:13
