Unnamed: 0,DET,GNB
First Downs,13,24
Rush-Yds-TDs,17-126-0,34-150-1
Cmp-Att-Yd-TD-INT,20-44-236-2-2,29-42-363-2-0
Sacked-Yards,0-0,2-10
Net Pass Yards,236,353
Total Yards,362,503
Fumbles-Lost,0-0,3-2
Turnovers,2,2
Penalties-Yards,1-10,8-53
Third Down Conv.,1-13,8-17
Fourth Down Conv.,1-4,0-0
Time of Possession,20:37,39:23
