Quarter,Time,Tm,Detail,DET,GNB
1.0,7:47,Packers,Ryan Longwell 30 yard field goal,0,3
,7:32,Lions,Az-Zahir Hakim 64 yard pass from Joey Harrington (Jason Hanson kick),7,3
2.0,14:35,Packers,Bubba Franks 4 yard pass from Brett Favre (Ryan Longwell kick),7,10
,8:57,Packers,Ryan Longwell 40 yard field goal,7,13
,5:51,Packers,Ryan Longwell 36 yard field goal,7,16
,1:47,Packers,Marques Anderson 14 yard interception return (Ryan Longwell kick),7,23
,0:17,Packers,Najeh Davenport 1 yard rush (Ryan Longwell kick),7,30
3.0,10:31,Packers,Ryan Longwell 33 yard field goal,7,33
,4:55,Packers,William Henderson 9 yard pass from Brett Favre (Ryan Longwell kick),7,40
4.0,10:46,Lions,Mikhael Ricks 1 yard pass from Joey Harrington (Jason Hanson kick),14,40
