Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
1,4:13,2,2,NYG 43,0,0,Clinton Portis right guard for 9 yards (tackle by Craig Dahl),2.730,3.310
1,3:26,1,10,NYG 34,0,0,Clinton Portis right tackle for 3 yards (tackle by Justin Tuck and Fred Robbins),3.310,3.180
1,2:44,2,7,NYG 31,0,0,Todd Collins pass incomplete short right intended for Santana Moss (defended by Reggie Torbor),3.180,2.480
1,2:35,3,7,NYG 31,0,0,Todd Collins pass incomplete deep middle intended for Chris Cooley (defended by Aaron Ross),2.480,1.320
1,2:28,4,7,NYG 31,3,0,Shaun Suisham 50 yard field goal good,1.320,3.000
1,,,,WAS 30,3,0,"Shaun Suisham kicks off 56 yards, returned by Ahmad Bradshaw for 37 yards (tackle by Leigh Torrence)",0.000,2.320
1,2:15,1,10,WAS 49,3,0,Brandon Jacobs left guard for 2 yards (tackle by Shawn Springs),2.320,2.050
1,1:41,2,8,WAS 47,3,0,Brandon Jacobs left end for 1 yard (tackle by Anthony Montgomery),2.050,1.490
1,0:45,3,7,WAS 46,3,0,Eli Manning pass incomplete short left intended for Brandon Jacobs,1.490,0.200
1,0:35,4,7,WAS 46,3,0,Jeff Feagles punts 19 yards,0.200,-0.740
1,0:27,1,10,WAS 27,3,0,Clinton Portis left end for 1 yard (tackle by Barry Cofield),0.740,0.330
Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,WAS 28,3,0,Clinton Portis right guard for -1 yards (tackle by Justin Tuck),0.330,-0.490
2,14:20,3,10,WAS 27,3,0,Todd Collins pass incomplete short middle intended for Chris Cooley,-0.490,-1.570
2,14:10,4,10,WAS 27,3,0,Derrick Frost punts 36 yards,-1.570,-1.400
2,13:57,1,10,NYG 37,3,0,Brandon Jacobs left end for no gain (tackle by H.B. Blades),1.400,0.860
2,13:17,2,10,NYG 37,3,0,Eli Manning pass incomplete short middle intended for Brandon Jacobs,0.860,0.170
2,13:10,3,10,NYG 37,3,0,Eli Manning pass incomplete short right intended for Sinorice Moss,0.170,-0.910
2,13:02,4,10,NYG 37,3,0,"Jeff Feagles punts 43 yards, returned by Antwaan Randle El for no gain",-0.910,-0.280
2,12:52,1,10,WAS 20,3,0,Todd Collins pass complete deep right to Santana Moss for 36 yards (tackle by Sam Madison),0.280,2.650
