Unnamed: 0,WAS,NYG
First Downs,14,20
Rush-Yds-TDs,35-153-2,28-139-0
Cmp-Att-Yd-TD-INT,8-25-166-0-0,18-53-184-1-0
Sacked-Yards,2-10,2-16
Net Pass Yards,156,168
Total Yards,309,307
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,4-35,3-35
Third Down Conv.,3-15,5-20
Fourth Down Conv.,0-0,2-5
Time of Possession,28:55,31:05
