Quarter,Time,Tm,Detail,WAS,NYG
1.0,2:23,Redskins,Shaun Suisham 49 yard field goal,3,0
2.0,10:12,Redskins,Shaun Suisham 31 yard field goal,6,0
,3:07,Redskins,Ladell Betts 14 yard rush (Shaun Suisham kick),13,0
,1:16,Giants,Lawrence Tynes 35 yard field goal,13,3
,0:00,Redskins,Shaun Suisham 28 yard field goal,16,3
3.0,12:08,Redskins,Clinton Portis 5 yard rush (pass failed),22,3
,4:37,Giants,Kevin Boss 19 yard pass from Eli Manning (Lawrence Tynes kick),22,10
