Quarter,Time,Tm,Detail,NYJ,NWE
1.0,11:53,Patriots,Corey Dillon 11 yard rush (Stephen Gostkowski kick),0,7
,2:36,Jets,Mike Nugent 28 yard field goal,3,7
2.0,14:45,Jets,Jerricho Cotchery 77 yard pass from Chad Pennington (Mike Nugent kick),10,7
,10:57,Patriots,Stephen Gostkowski 20 yard field goal,10,10
,0:11,Patriots,Daniel Graham 1 yard pass from Tom Brady (Stephen Gostkowski kick),10,17
3.0,8:19,Jets,Mike Nugent 21 yard field goal,13,17
,4:22,Patriots,Stephen Gostkowski 40 yard field goal,13,20
,0:04,Patriots,Stephen Gostkowski 28 yard field goal,13,23
4.0,11:39,Jets,Mike Nugent 37 yard field goal,16,23
,5:16,Patriots,Kevin Faulk 7 yard pass from Tom Brady (Stephen Gostkowski kick),16,30
,4:54,Patriots,Asante Samuel 36 yard interception return (Stephen Gostkowski kick),16,37
