Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Mike Nugent kicks off 63 yards, returned by Ellis Hobbs for 28 yards (tackle by Eric Smith)",0.000,1.270
1,14:53,1,10,NWE 35,0,0,Tom Brady pass complete short right to Jabar Gaffney for 12 yards (tackle by Andre Dyson),1.270,2.060
1,14:42,1,10,NWE 47,0,0,Corey Dillon right guard for 4 yards (tackle by Eric Barton and Erik Coleman),2.060,2.060
1,14:08,2,6,NYJ 49,0,0,Tom Brady pass complete short right to Jabar Gaffney for 7 yards (tackle by Andre Dyson),2.060,2.790
1,13:59,1,10,NYJ 42,0,0,Corey Dillon middle for 2 yards (tackle by Shaun Ellis and Eric Barton),2.790,2.510
1,13:28,2,8,NYJ 40,0,0,Tom Brady pass incomplete short left intended for Daniel Graham,2.510,1.820
1,13:24,3,8,NYJ 40,0,0,Tom Brady pass complete short right to Jabar Gaffney for 15 yards,1.820,3.910
1,13:14,1,10,NYJ 25,0,0,Kevin Faulk right tackle for -2 yards (tackle by Kerry Rhodes and Jonathan Vilma),3.910,3.090
1,12:42,2,12,NYJ 27,0,0,Tom Brady pass incomplete deep right intended for Daniel Graham,3.090,2.410
1,12:37,3,12,NYJ 27,0,0,Tom Brady pass complete short middle to Troy Brown for 16 yards (tackle by Eric Smith),2.410,4.840
1,12:00,1,10,NYJ 11,0,6,"Corey Dillon right tackle for 11 yards, touchdown",4.840,7.000
1,,,,NYJ 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,0,7,"Stephen Gostkowski kicks off 66 yards, returned by Justin Miller for 35 yards (tackle by Artrell Hawkins)",0.000,1.530
1,11:45,1,10,NYJ 39,0,7,Chad Pennington sacked by Tully Banta-Cain for -2 yards,1.530,0.720
1,11:13,2,12,NYJ 37,0,7,Chad Pennington middle for 7 yards (tackle by Mike Vrabel),0.720,0.960
1,10:25,3,5,NYJ 44,0,7,Chad Pennington pass incomplete short middle intended for Jerricho Cotchery (defended by Mike Vrabel),0.960,-0.460
1,10:20,4,5,NYJ 44,0,7,"Ben Graham punts 37 yards. Penalty on Ellis Hobbs: Offensive Holding, 9 yards",-0.460,0.380
1,10:13,1,10,NWE 10,0,7,Laurence Maroney right tackle for 4 yards (tackle by Eric Barton),-0.380,-0.460
1,9:53,2,6,NWE 14,0,7,"Tom Brady middle for 1 yard (tackle by Bryan Thomas). Penalty on NYJ: Defensive 12 On-field, 5 yards (no play)",-0.460,0.240
1,9:48,2,1,NWE 19,0,7,Laurence Maroney right tackle for 7 yards (tackle by Erik Coleman),0.240,0.670
1,9:17,1,10,NWE 26,0,7,Laurence Maroney right tackle for 4 yards (tackle by Kerry Rhodes),0.670,0.670
1,8:48,2,6,NWE 30,0,7,Tom Brady pass incomplete short right intended for Jabar Gaffney (defended by Victor Hobson),0.670,-0.030
1,8:44,3,6,NWE 30,0,7,Tom Brady pass complete short right to Jabar Gaffney for 5 yards (tackle by Eric Smith),-0.030,-1.040
1,7:58,4,1,NWE 35,0,7,"Todd Sauerbrun punts 42 yards, returned by Leon Washington for 7 yards (tackle by Larry Izzo)",-1.040,-0.940
1,7:47,1,10,NYJ 30,0,7,Leon Washington middle for no gain (tackle by Vince Wilfork),0.940,0.390
1,7:07,2,10,NYJ 30,0,7,Chad Pennington pass complete short left to Leon Washington for 11 yards (tackle by Ellis Hobbs),0.390,1.660
1,6:20,1,10,NYJ 41,0,7,Chad Pennington pass incomplete deep right intended for Justin McCareins,1.660,1.120
1,6:12,2,10,NYJ 41,0,7,"Leon Washington middle for 1 yard (tackle by Richard Seymour and Vince Wilfork). Penalty on Vince Wilfork: Unnecessary Roughness, 15 yards",1.120,2.720
1,5:45,1,10,NWE 43,0,7,Chad Pennington pass incomplete short left intended for Justin McCareins,2.720,2.180
1,5:39,2,10,NWE 43,0,7,Patrick Ramsey pass complete short right to B.J. Askew for -1 yards (tackle by Rosevelt Colvin),2.180,1.360
1,4:56,3,11,NWE 44,0,7,Chad Pennington pass complete short left to Laveranues Coles for 8 yards (tackle by Ellis Hobbs and Artrell Hawkins),1.360,0.890
1,4:18,,,,0,7,Timeout #1 by New England Patriots,0.000,0.890
1,4:18,4,3,NWE 36,0,7,"Ben Graham punts 22 yards, fair catch by Troy Brown",0.890,0.280
1,4:11,1,10,NWE 14,0,7,"Corey Dillon right tackle for 1 yard (tackle by Dewayne Robertson). Corey Dillon fumbles (forced by Dewayne Robertson), recovered by Hank Poteat at NWE-15 (tackle by Corey Dillon)",-0.280,-4.580
1,4:06,1,10,NWE 15,0,7,Leon Washington right guard for 5 yards (tackle by Ty Warren and Mike Wright),4.580,4.840
1,3:29,2,5,NWE 10,0,7,Leon Washington left guard for no gain (tackle by Tedy Bruschi and Artrell Hawkins),4.840,4.000
1,2:43,3,5,NWE 10,0,7,Chad Pennington pass incomplete short middle intended for Laveranues Coles,4.000,2.810
1,2:39,4,5,NWE 10,3,7,Mike Nugent 28 yard field goal good,2.810,3.000
1,,,,NYJ 30,3,7,"Mike Nugent kicks off 66 yards, returned by Ellis Hobbs for 26 yards (tackle by Brad Kassell)",0.000,0.940
1,2:28,1,10,NWE 30,3,7,Tom Brady pass complete short right to Reche Caldwell for 6 yards (tackle by Hank Poteat),0.940,1.200
1,2:09,2,4,NWE 36,3,7,Laurence Maroney left end for 3 yards (tackle by Jonathan Vilma and Dewayne Robertson),1.200,0.890
1,1:33,3,1,NWE 39,3,7,Tom Brady right guard for 2 yards,0.890,1.660
1,0:59,1,10,NWE 41,3,7,Tom Brady pass incomplete deep left intended for Chad Jackson (defended by David Barrett),1.660,1.120
1,0:52,2,10,NWE 41,3,7,Tom Brady pass complete short right to Ben Watson for 7 yards (tackle by Hank Poteat),1.120,1.360
1,0:14,3,3,NWE 48,3,7,Tom Brady pass incomplete short left intended for Ben Watson (defended by Kerry Rhodes),1.360,-0.190
1,0:09,4,3,NWE 48,3,7,Todd Sauerbrun punts 32 yards,-0.190,-0.280
1,0:02,1,10,NYJ 20,3,7,Leon Washington middle for 3 yards (tackle by Ty Warren and Tedy Bruschi),0.280,0.140
Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NYJ 23,3,7,Chad Pennington pass incomplete,0.140,-0.560
2,14:56,3,7,NYJ 23,9,7,"Chad Pennington pass complete deep right to Jerricho Cotchery for 77 yards, touchdown. Penalty on Richard Seymour: Defensive Offside (Declined)",-0.560,7.000
2,,,,NWE 2,10,7,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,10,7,"Mike Nugent kicks off 57 yards, returned by Laurence Maroney for 29 yards (tackle by Matt Chatham)",0.000,1.730
2,14:38,1,10,NWE 42,10,7,Corey Dillon right end for 2 yards (tackle by Hank Poteat),1.730,1.460
2,14:19,2,8,NWE 44,10,7,Tom Brady pass complete short right to Reche Caldwell for 7 yards (tackle by Hank Poteat and Erik Coleman),1.460,1.690
2,13:49,3,1,NYJ 49,10,7,Corey Dillon left end for 8 yards (tackle by Kerry Rhodes and Jonathan Vilma),1.690,2.850
2,13:11,1,10,NYJ 41,10,7,Tom Brady pass incomplete deep right intended for Jabar Gaffney,2.850,2.310
2,13:03,2,10,NYJ 41,10,7,Tom Brady pass complete short left to Ben Watson for 4 yards,2.310,2.150
2,12:35,3,6,NYJ 37,10,7,Tom Brady left end for 12 yards (tackle by Victor Hobson),2.150,3.910
2,12:04,,,,10,7,Timeout #1 by New York Jets,0.000,3.910
2,12:04,1,10,NYJ 25,10,7,"Tom Brady pass incomplete deep right intended for Ben Watson. Penalty on Hank Poteat: Defensive Pass Interfere, 22 yards (no play)",3.910,6.510
2,11:59,1,3,NYJ 3,10,7,Tom Brady pass complete short right to Corey Dillon for no gain,6.510,5.530
2,11:39,2,3,NYJ 3,10,7,Corey Dillon left tackle for 1 yard (tackle by Brad Kassell and Dewayne Robertson),5.530,4.950
2,11:04,3,2,NYJ 2,10,7,Tom Brady pass incomplete short middle intended for Ben Watson,4.950,3.250
2,11:00,4,2,NYJ 2,10,10,Stephen Gostkowski 20 yard field goal good,3.250,3.000
2,,,,NWE 30,10,10,"Stephen Gostkowski kicks off 73 yards, returned by Justin Miller for 30 yards (tackle by Pierre Woods)",0.000,0.740
2,10:52,1,10,NYJ 27,10,10,Chad Pennington pass complete short left to Laveranues Coles for 6 yards (tackle by Ellis Hobbs),0.740,1.010
2,10:34,2,4,NYJ 33,10,10,Chad Pennington pass incomplete short left intended for Leon Washington (defended by Tully Banta-Cain),1.010,0.300
2,10:28,,,,10,10,Timeout #2 by New England Patriots,0.000,0.300
2,10:28,3,4,NYJ 33,10,10,Chad Pennington pass complete short middle to Jerricho Cotchery for 6 yards (tackle by Ray Mickens),0.300,1.530
2,10:10,1,10,NYJ 39,10,10,"Chad Pennington left guard for no gain (tackle by Mike Vrabel). Penalty on NYJ: Illegal Shift (Offsetting), Penalty on NWE: Defensive 12 On-field (Offsetting) (no play)",1.530,1.530
2,9:56,1,10,NYJ 39,10,10,Leon Washington middle for 3 yards (tackle by Richard Seymour and Mike Vrabel),1.530,1.390
2,9:32,2,7,NYJ 42,10,10,Chad Pennington pass incomplete short left intended for Laveranues Coles,1.390,0.700
2,9:27,3,7,NYJ 42,10,10,Chad Pennington pass complete short left to Laveranues Coles for 14 yards (tackle by Ellis Hobbs),0.700,2.650
2,8:40,1,10,NWE 44,10,10,Chad Pennington pass incomplete short left intended for Laveranues Coles,2.650,2.110
