Unnamed: 0,GNB,NOR
First Downs,23,28
Rush-Yds-TDs,19-89-1,31-193-2
Cmp-Att-Yd-TD-INT,29-40-426-1-2,27-32-311-3-0
Sacked-Yards,4-24,2-9
Net Pass Yards,402,302
Total Yards,491,495
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,8-84,4-35
Third Down Conv.,1-7,6-10
Fourth Down Conv.,1-2,0-1
Time of Possession,28:21,31:39
