Unnamed: 0,OAK,KAN
First Downs,21,18
Rush-Yds-TDs,26-101-0,24-114-2
Cmp-Att-Yd-TD-INT,21-40-175-2-1,22-35-235-1-0
Sacked-Yards,1-13,3-28
Net Pass Yards,162,207
Total Yards,263,321
Fumbles-Lost,2-0,3-1
Turnovers,1,1
Penalties-Yards,9-84,11-87
Third Down Conv.,10-17,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,31:54,28:06
