Quarter,Time,Tm,Detail,OAK,KAN
1.0,8:50,Raiders,Sebastian Janikowski 32 yard field goal,3,0
2.0,14:47,Raiders,Sebastian Janikowski 49 yard field goal,6,0
,4:59,Chiefs,Lawrence Tynes 27 yard field goal,6,3
,0:29,Chiefs,Lawrence Tynes 47 yard field goal,6,6
,0:05,Raiders,Sebastian Janikowski 48 yard field goal,9,6
3.0,0:55,Chiefs,Tony Richardson 6 yard pass from Trent Green (Lawrence Tynes kick),9,13
4.0,12:56,Chiefs,Larry Johnson 15 yard rush (Lawrence Tynes kick),9,20
,10:31,Raiders,Jerry Porter 4 yard pass from Kerry Collins (pass failed),15,20
,1:45,Raiders,Randy Moss 7 yard pass from Kerry Collins (two point pass successful),23,20
,0:00,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),23,27
