Quarter,Time,Tm,Detail,IND,WAS
1.0,9:47,Colts,Pierre Garcon 57 yard pass from Peyton Manning (Adam Vinatieri kick),7,0
,1:22,Redskins,Ryan Torain 9 yard rush (Graham Gano kick),7,7
2.0,12:44,Colts,Austin Collie 5 yard pass from Peyton Manning (Adam Vinatieri kick),14,7
,2:00,Colts,Adam Vinatieri 43 yard field goal,17,7
3.0,11:18,Redskins,Ryan Torain 1 yard rush (Graham Gano kick),17,14
,9:21,Colts,Joseph Addai 13 yard rush (Adam Vinatieri kick),24,14
,3:53,Redskins,Graham Gano 39 yard field goal,24,17
4.0,8:41,Colts,Adam Vinatieri 33 yard field goal,27,17
,2:46,Redskins,Keiland Williams 8 yard pass from Donovan McNabb (Graham Gano kick),27,24
