Unnamed: 0,IND,WAS
First Downs,22,23
Rush-Yds-TDs,29-170-1,24-113-2
Cmp-Att-Yd-TD-INT,25-38-307-2-0,29-45-246-1-2
Sacked-Yards,1-8,3-24
Net Pass Yards,299,222
Total Yards,469,335
Fumbles-Lost,4-3,0-0
Turnovers,3,2
Penalties-Yards,3-15,7-53
Third Down Conv.,3-10,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,27:30,32:30
