Quarter,Time,Down,ToGo,Location,IND,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Graham Gano kicks off 69 yards, returned by Kenny Moore for 18 yards (tackle by Chris Wilson)",0.000,0.150
1,14:56,1,10,IND 19,0,0,Joseph Addai left tackle for 4 yards (tackle by London Fletcher and Lorenzo Alexander),0.150,0.210
1,14:26,2,6,IND 23,0,0,Peyton Manning pass complete short right to Brody Eldridge for 5 yards (tackle by H.B. Blades),0.210,0.100
1,13:41,3,1,IND 28,0,0,"Penalty on IND: False Start, 5 yards (no play)",0.100,-0.550
1,13:16,3,6,IND 23,0,0,Peyton Manning pass incomplete deep middle intended for Austin Collie (defended by Carlos Rogers),-0.550,-1.830
,,,,,,,"IND challenged the incomplete pass ruling, and the play was upheld.",,
1,13:06,4,6,IND 23,0,0,"Pat McAfee punts 52 yards, returned by Brandon Banks for 16 yards (tackle by Brandon King)",-1.830,-1.660
1,12:54,1,10,WAS 41,0,0,Donovan McNabb pass incomplete short left intended for Mike Sellers (defended by Dwight Freeney),1.660,1.120
1,12:48,2,10,WAS 41,0,0,Ryan Torain right end for -1 yards (tackle by Kelvin Hayden),1.120,0.300
1,12:25,3,11,WAS 40,0,0,Donovan McNabb pass complete short middle to Santana Moss for 12 yards (tackle by Deshea Townsend and Aaron Francisco),0.300,2.390
1,11:50,1,10,IND 48,0,0,Ryan Torain left guard for 1 yard (tackle by Antonio Johnson and Eric Foster),2.390,1.980
1,11:10,2,9,IND 47,0,0,Ryan Torain right end for 8 yards (tackle by Kelvin Hayden and Daniel Muir),1.980,2.340
1,10:35,3,1,IND 39,0,0,Donovan McNabb middle for 2 yards (tackle by Philip Wheeler and Antonio Johnson),2.340,3.120
1,10:03,1,10,IND 37,0,0,Donovan McNabb pass incomplete short left intended for Santana Moss is intercepted by Jerraud Powers at IND-32 and returned for 11 yards,3.120,-1.800
1,9:56,1,10,IND 43,6,0,"Peyton Manning pass complete deep right to Pierre Garcon for 57 yards, touchdown",1.800,7.000
1,,,,WAS 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Pat McAfee kicks off 69 yards, returned by Brandon Banks for 23 yards (tackle by Justin Tryon). Penalty on H.B. Blades: Offensive Holding, 10 yards",0.000,-0.280
1,9:42,1,10,WAS 14,7,0,Ryan Torain left end for 1 yard (tackle by Fili Moala and Robert Mathis),-0.280,-0.640
1,8:59,2,9,WAS 15,7,0,Donovan McNabb sacked by Pat Angerer for -8 yards,-0.640,-2.240
1,8:29,3,17,WAS 7,7,0,Keiland Williams right guard for -2 yards (tackle by Keyunta Dawson and Eric Foster),-2.240,-2.490
1,7:53,4,19,WAS 5,7,0,"Hunter Smith punts 56 yards, returned by Kenny Moore for 13 yards (tackle by Mike Sellers)",-2.490,-2.390
1,7:41,1,10,WAS 48,7,0,Joseph Addai right end for 3 yards (tackle by London Fletcher and LaRon Landry),2.390,2.250
1,7:02,2,7,WAS 45,7,0,Peyton Manning pass incomplete short middle intended for Dallas Clark (defended by Carlos Rogers),2.250,1.550
1,6:56,3,7,WAS 45,7,0,Peyton Manning pass incomplete short right intended for Joseph Addai,1.550,0.270
1,6:52,4,7,WAS 45,7,0,"Pat McAfee punts 34 yards, fair catch by Brandon Banks",0.270,0.370
1,6:44,1,10,WAS 11,7,0,Ryan Torain left tackle for 1 yard (tackle by Antonio Johnson and Pat Angerer),-0.370,-0.710
1,6:10,2,9,WAS 12,7,0,Donovan McNabb pass complete short middle to Chris Cooley for 11 yards (tackle by Clint Session),-0.710,0.480
1,5:34,1,10,WAS 23,7,0,Ryan Torain right end for 7 yards (tackle by Pat Angerer),0.480,0.880
1,4:55,2,3,WAS 30,7,0,Donovan McNabb pass incomplete deep middle intended for Brandon Banks,0.880,0.170
1,4:47,3,3,WAS 30,7,0,Donovan McNabb pass complete short right to Anthony Armstrong for 7 yards (tackle by Kelvin Hayden),0.170,1.400
1,4:11,1,10,WAS 37,7,0,Donovan McNabb pass complete short middle to Anthony Armstrong for 11 yards (tackle by Jerraud Powers),1.400,2.130
1,3:35,1,10,WAS 48,7,0,Ryan Torain right end for 16 yards (tackle by Clint Session),2.130,3.180
1,2:53,1,10,IND 36,7,0,Donovan McNabb pass complete deep middle to Santana Moss for 18 yards (tackle by Aaron Francisco),3.180,4.370
1,2:13,1,10,IND 18,7,0,Donovan McNabb pass complete short left to Ryan Torain for 9 yards (tackle by Fili Moala and Robert Mathis),4.370,5.420
1,1:29,2,1,IND 9,7,6,"Ryan Torain right end for 9 yards, touchdown",5.420,7.000
1,,,,IND 2,7,7,Graham Gano kicks extra point good,0.000,0.000
1,,,,WAS 30,7,7,"Graham Gano kicks off 70 yards, returned by Kenny Moore for 16 yards (tackle by Anthony Armstrong)",0.000,-0.140
1,1:16,1,10,IND 16,7,7,Peyton Manning pass complete short middle to Austin Collie for 7 yards (tackle by Phillip Buchanon and Reed Doughty),-0.140,0.420
1,0:52,2,3,IND 23,7,7,Peyton Manning pass incomplete deep middle intended for Austin Collie (defended by Kareem Moore),0.420,-0.450
1,0:46,3,3,IND 23,7,7,Peyton Manning pass complete short left to Reggie Wayne for 10 yards,-0.450,1.140
1,0:40,1,10,IND 33,7,7,Joseph Addai left tackle for 8 yards (tackle by Lorenzo Alexander and Kareem Moore),1.140,1.670
1,0:16,2,2,IND 41,7,7,Peyton Manning pass complete short left to Austin Collie for 5 yards (tackle by Carlos Rogers),1.670,1.990
Quarter,Time,Down,ToGo,Location,IND,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 46,7,7,Peyton Manning pass complete short right to Pierre Garcon for 11 yards (tackle by DeAngelo Hall),1.990,2.720
2,14:34,1,10,WAS 43,7,7,Joseph Addai left tackle for 3 yards (tackle by London Fletcher),2.720,2.580
2,14:04,2,7,WAS 40,7,7,Peyton Manning pass complete short left to Reggie Wayne for 12 yards (tackle by Phillip Buchanon),2.580,3.710
2,13:56,1,10,WAS 28,7,7,Joseph Addai right tackle for 4 yards (tackle by Carlos Rogers),3.710,3.710
2,13:30,2,6,WAS 24,7,7,Peyton Manning pass complete short right to Pierre Garcon for 14 yards (tackle by LaRon Landry),3.710,4.910
2,13:21,1,10,WAS 10,7,7,Joseph Addai right end for 5 yards (tackle by LaRon Landry and DeAngelo Hall),4.910,5.150
2,12:48,2,5,WAS 5,13,7,"Peyton Manning pass complete short middle to Austin Collie for 5 yards, touchdown",5.150,7.000
2,,,,WAS 2,14,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,14,7,"Pat McAfee kicks off 70 yards, returned by Brandon Banks for 44 yards (tackle by Justin Tryon)",0.000,1.860
2,12:36,1,10,WAS 44,14,7,Ryan Torain left end for 12 yards (tackle by Clint Session),1.860,2.650
2,11:57,1,10,IND 44,14,7,Donovan McNabb pass incomplete short right intended for Santana Moss,2.650,2.110
2,11:50,2,10,IND 44,14,7,Ryan Torain middle for -2 yards (tackle by Robert Mathis and Clint Session),2.110,1.160
2,11:09,3,12,IND 46,14,7,Donovan McNabb pass incomplete short left intended for Santana Moss,1.160,0.200
2,11:05,4,12,IND 46,14,7,"Hunter Smith punts 32 yards, fair catch by Kenny Moore",0.200,0.280
2,10:58,1,10,IND 14,14,7,Mike Hart right guard for 4 yards (tackle by Andre Carter and Vonnie Holliday),-0.280,-0.210
2,10:37,2,6,IND 18,14,7,Peyton Manning pass complete deep middle to Austin Collie for 17 yards (tackle by Kareem Moore and Reed Doughty),-0.210,1.270
2,10:11,1,10,IND 35,14,7,Mike Hart right end for 7 yards (tackle by Brian Orakpo and London Fletcher),1.270,1.670
2,9:45,2,3,IND 42,14,7,Peyton Manning pass complete deep left to Reggie Wayne for 18 yards (tackle by LaRon Landry),1.670,2.920
2,9:19,1,10,WAS 40,14,7,Mike Hart right guard for 6 yards (tackle by Kareem Moore and London Fletcher),2.920,3.180
2,8:54,2,4,WAS 34,14,7,Peyton Manning pass incomplete deep right intended for Pierre Garcon,3.180,2.480
2,8:48,3,4,WAS 34,14,7,Peyton Manning pass complete short right to Dallas Clark for 6 yards (tackle by Reed Doughty and DeAngelo Hall),2.480,3.710
2,8:26,1,10,WAS 28,14,7,Joseph Addai middle for 2 yards (tackle by Lorenzo Alexander and Jeremy Jarmon),3.710,3.440
2,7:59,2,8,WAS 26,14,7,Peyton Manning pass incomplete deep middle intended for Pierre Garcon,3.440,2.740
2,7:55,3,8,WAS 26,14,7,Peyton Manning pass complete short right to Dallas Clark for 6 yards (tackle by Reed Doughty and Kareem Moore),2.740,2.250
2,7:14,4,2,WAS 20,14,7,Adam Vinatieri 38 yard field goal no good,2.250,-0.810
2,7:08,1,10,WAS 28,14,7,Ryan Torain right end for 12 yards (tackle by Daniel Muir),0.810,1.600
2,6:31,1,10,WAS 40,14,7,Ryan Torain middle for 4 yards (tackle by Antoine Bethea and Justin Tryon),1.600,1.590
2,5:50,2,6,WAS 44,14,7,"Penalty on Artis Hicks: False Start, 5 yards (no play)",1.590,0.920
2,5:33,2,11,WAS 39,14,7,Donovan McNabb pass incomplete short left intended for Chris Cooley,0.920,0.230
2,5:27,3,11,WAS 39,14,7,Donovan McNabb pass incomplete short middle intended for Santana Moss,0.230,-0.780
2,5:20,4,11,WAS 39,14,7,"Hunter Smith punts 44 yards, returned by Kenny Moore for 3 yards (tackle by Chris Wilson). Kenny Moore fumbles, recovered by Brandon King at IND-22 (tackle by Nick Sundberg)",-0.780,-0.410
2,5:06,1,10,IND 22,14,7,Peyton Manning pass complete short middle to Austin Collie for 9 yards (tackle by Carlos Rogers and Kareem Moore),0.410,1.080
2,4:41,2,1,IND 31,14,7,Joseph Addai right end for 14 yards (tackle by LaRon Landry),1.080,1.930
2,4:14,1,10,IND 45,14,7,Peyton Manning pass incomplete short left intended for Reggie Wayne (defended by Phillip Buchanon),1.930,1.380
