Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
1,5:13,1,10,WAS 4,7,0,Rex Grossman pass complete short left to Darrel Young for 21 yards (tackle by Brandon Browner),-0.380,0.610
1,4:32,1,10,WAS 25,7,0,Roy Helu right end for 8 yards (tackle by Richard Sherman),0.610,1.140
1,4:06,2,2,WAS 33,7,0,Rex Grossman pass complete short left to Jabar Gaffney for 18 yards (tackle by K.J. Wright),1.140,2.320
1,3:40,1,10,SEA 49,7,0,Roy Helu right tackle for 12 yards (tackle by Richard Sherman and Kam Chancellor),2.320,3.120
1,2:59,1,10,SEA 37,7,0,"Rex Grossman pass incomplete short middle intended for Rex Grossman. Penalty on Rex Grossman: Illegal Forward Pass, 5 yards (no play)",3.120,2.790
1,2:53,1,15,SEA 42,7,0,Rex Grossman pass complete short right to Roy Helu for 14 yards (tackle by Kam Chancellor),2.790,3.790
1,2:11,2,1,SEA 28,7,0,Roy Helu left end for -2 yards (tackle by Red Bryant),3.790,2.810
1,1:33,,,,7,0,Timeout #1 by Seattle Seahawks,0.000,2.810
1,1:33,3,3,SEA 30,7,0,"Rex Grossman pass incomplete short middle intended for Santana Moss (defended by Earl Thomas). Penalty on Roy Helu: Chop Block, 15 yards (no play)",2.810,0.830
1,1:29,3,18,SEA 45,7,0,Rex Grossman pass complete short middle to Roy Helu for 6 yards (tackle by David Hawthorne and LeRoy Hill),0.830,0.660
1,0:47,4,12,SEA 39,7,0,"Saverio Rocca punts 39 yards, touchback",0.660,-0.280
1,0:39,1,10,SEA 20,7,0,Marshawn Lynch right end for 5 yards (tackle by London Fletcher and Perry Riley),0.280,0.410
Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,SEA 25,7,0,Marshawn Lynch left tackle for 2 yards (tackle by LaRon Landry),0.410,-0.030
2,14:29,3,3,SEA 27,7,0,Tarvaris Jackson pass complete short left to Doug Baldwin for 7 yards (tackle by London Fletcher and Josh Wilson),-0.030,1.200
2,14:00,1,10,SEA 34,7,0,Marshawn Lynch right end for 4 yards (tackle by Perry Riley),1.200,1.200
2,13:28,2,6,SEA 38,7,0,Tarvaris Jackson pass complete short right to Anthony McCoy for 13 yards (tackle by Ryan Kerrigan),1.200,2.320
2,12:55,1,10,WAS 49,7,0,Leon Washington right guard for 1 yard (tackle by Perry Riley and Reed Doughty),2.320,1.920
2,12:16,2,9,WAS 48,7,0,Tarvaris Jackson pass incomplete short left intended for Zach Miller,1.920,1.220
2,12:13,3,9,WAS 48,7,0,Tarvaris Jackson pass incomplete short left intended for Doug Baldwin (defended by Josh Wilson),1.220,0.070
2,12:08,4,9,WAS 48,7,0,Jon Ryan punts 26 yards,0.070,-0.410
2,11:59,1,10,WAS 22,7,0,Roy Helu left tackle for 1 yard (tackle by LeRoy Hill),0.410,0.000
2,11:19,2,9,WAS 23,7,0,Rex Grossman pass incomplete short right intended for Jabar Gaffney is intercepted by Brandon Browner at WAS-36 and returned for 16 yards (tackle by Maurice Hurt),0.000,-4.240
2,11:08,1,10,WAS 20,7,6,"Tarvaris Jackson pass complete short right to Marshawn Lynch for 20 yards, touchdown",4.240,7.000
2,,,,WAS 2,7,7,Steven Hauschka kicks extra point good,0.000,0.000
2,,,,SEA 35,7,7,"Steven Hauschka kicks off 46 yards, returned by Mike Sellers for 15 yards (tackle by Chris Maragos)",0.000,1.200
2,10:55,1,10,WAS 34,7,7,Rex Grossman pass complete short right to Jabar Gaffney for 17 yards,1.200,2.320
2,10:26,1,10,SEA 49,7,7,Roy Helu right tackle for 3 yards (tackle by Brandon Mebane),2.320,2.190
2,9:48,2,7,SEA 46,7,7,Roy Helu left end for 11 yards (tackle by Kam Chancellor),2.190,3.250
2,9:08,1,10,SEA 35,7,7,Roy Helu right tackle for 4 yards (tackle by Brandon Mebane),3.250,3.240
2,8:27,2,6,SEA 31,7,7,Rex Grossman pass complete short right to Roy Helu for 11 yards (tackle by Raheem Brock),3.240,4.240
2,7:45,1,10,SEA 20,7,7,Evan Royster right tackle for 3 yards (tackle by Lazarius Levingston),4.240,4.120
2,6:40,2,7,SEA 17,7,7,"Rex Grossman pass complete short right to Santana Moss for 5 yards (tackle by Richard Sherman). Penalty on K.J. Wright: Face Mask (15 Yards), 6 yards",4.120,5.830
2,6:38,1,6,SEA 6,7,7,Roy Helu right end for 2 yards (tackle by David Hawthorne),5.830,5.340
2,6:13,2,4,SEA 4,7,7,"Rex Grossman pass complete short left to Jabar Gaffney for 4 yards. Penalty on Jabar Gaffney: Illegal Touch Pass, 5 yards (no play)",5.340,4.380
2,6:08,,,,7,7,Timeout #2 by Washington Redskins,0.000,4.380
2,6:07,2,9,SEA 9,7,7,Rex Grossman pass complete short left to Jabar Gaffney for 4 yards (tackle by Kam Chancellor),4.380,4.260
2,5:27,3,5,SEA 5,7,7,Rex Grossman pass incomplete short right intended for Jabar Gaffney,4.260,3.010
2,5:23,4,5,SEA 5,7,7,"Graham Gano 23 yard field goal no good, blocked by Red Bryant",3.010,-0.280
2,5:17,1,10,SEA 20,7,7,Tarvaris Jackson pass incomplete short right intended for Doug Baldwin (defended by DeAngelo Hall),0.280,-0.270
2,5:11,2,10,SEA 20,7,7,Marshawn Lynch left tackle for 3 yards (tackle by Adam Carriker),-0.270,-0.560
2,4:55,3,7,SEA 23,7,7,Tarvaris Jackson pass complete short right to Doug Baldwin for 13 yards,-0.560,1.330
2,4:30,1,10,SEA 36,7,7,Marshawn Lynch left end for 1 yard (tackle by Brian Orakpo),1.330,0.930
2,3:57,2,9,SEA 37,7,7,Marshawn Lynch up the middle for 7 yards (tackle by O.J. Atogwe),0.930,1.160
2,3:07,3,2,SEA 44,7,7,Tarvaris Jackson pass complete short right to Doug Baldwin for 5 yards (tackle by Josh Wilson and DeAngelo Hall),1.160,2.190
2,2:36,1,10,SEA 49,7,7,Marshawn Lynch right tackle for 5 yards (tackle by Adam Carriker and Darrion Scott),2.190,2.320
2,2:00,2,5,WAS 46,7,7,Marshawn Lynch right tackle for 6 yards (tackle by Stephen Bowen),2.320,2.920
2,1:23,1,10,WAS 40,7,7,"Tarvaris Jackson pass incomplete short right intended for Leon Washington. Penalty on Marshawn Lynch: Offensive Holding, 10 yards (no play)",2.920,2.260
2,1:18,1,20,,7,7,Tarvaris Jackson pass incomplete short left intended for Marshawn Lynch,2.260,1.020
2,1:12,2,20,,7,7,Justin Forsett right tackle for 1 yard (tackle by Stephen Bowen and Ryan Kerrigan),1.020,0.500
2,1:04,,,,7,7,Timeout #3 by Washington Redskins,0.000,0.500
2,1:04,3,19,WAS 49,7,7,Marshawn Lynch right end for 9 yards (tackle by O.J. Atogwe and DeAngelo Hall). Penalty on Breno Giacomini: Unnecessary Roughness (Declined),0.500,0.590
2,0:54,4,10,WAS 40,7,7,Jon Ryan punts 38 yards,0.590,0.380
2,0:44,1,10,WAS 2,7,7,Rex Grossman left guard for 2 yards (tackle by Chris Clemons),-0.380,-0.630
2,0:39,,,,7,7,Timeout #2 by Seattle Seahawks,0.000,-0.630
2,0:39,2,8,WAS 4,7,7,Rex Grossman kneels for -1 yards,-0.630,-1.300
2,0:36,,,,7,7,Timeout #3 by Seattle Seahawks,0.000,-1.300
2,0:36,3,9,WAS 3,7,7,Rex Grossman kneels for -1 yards,-1.300,-2.490
Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,7,"Graham Gano kicks off 68 yards, returned by Leon Washington for 51 yards (tackle by Byron Westbrook)",0.000,2.130
3,14:52,1,10,SEA 48,7,7,"Penalty on Breno Giacomini: False Start, 5 yards (no play)",2.130,1.800
3,14:52,1,15,SEA 43,7,7,Marshawn Lynch left tackle for 4 yards (tackle by Perry Riley and Stephen Bowen),1.800,1.450
3,14:15,2,11,SEA 47,7,7,Marshawn Lynch right tackle for 10 yards (tackle by DeAngelo Hall),1.450,2.080
3,13:39,3,1,WAS 43,7,7,Marshawn Lynch left tackle for 3 yards (tackle by Brian Orakpo),2.080,2.920
3,13:00,1,10,WAS 40,7,7,Tarvaris Jackson pass incomplete deep right intended for Mike Williams (defended by DeAngelo Hall),2.920,2.370
3,12:54,2,10,WAS 40,7,7,Tarvaris Jackson pass complete short right to Ben Obomanu for 7 yards (tackle by Perry Riley),2.370,2.610
3,12:12,3,3,WAS 33,7,7,Tarvaris Jackson pass incomplete short left intended for Sidney Rice (defended by Josh Wilson),2.610,1.190
3,12:08,,,,7,7,Timeout #1 by Seattle Seahawks,0.000,1.190
3,12:08,4,3,WAS 33,7,7,Steven Hauschka 51 yard field goal no good,1.190,-1.660
3,12:03,1,10,WAS 41,7,7,Rex Grossman pass incomplete deep middle intended for Santana Moss is intercepted by Richard Sherman at SEA-15 and returned for 7 yards (tackle by Santana Moss),1.660,-0.410
3,11:53,1,10,SEA 22,7,7,Marshawn Lynch right tackle for 4 yards (tackle by London Fletcher),0.410,0.410
3,11:10,2,6,SEA 26,7,7,Tarvaris Jackson pass incomplete deep middle intended for Sidney Rice,0.410,-0.290
3,11:02,3,6,SEA 26,7,7,Tarvaris Jackson pass incomplete short left intended for Doug Baldwin. Penalty on Zach Miller: Offensive Holding (Declined),-0.290,-1.630
3,10:58,4,6,SEA 26,7,7,"Jon Ryan punts 67 yards, returned by Brandon Banks for 19 yards (tackle by Chris Maragos). Penalty on Terrence Austin: Illegal Block Above the Waist, 4 yards",-1.630,0.380
3,10:42,1,10,WAS 4,7,7,Roy Helu left tackle for -1 yards (tackle by LeRoy Hill and Chris Clemons),-0.380,-0.850
3,10:05,2,11,WAS 3,7,7,Rex Grossman pass complete short middle to Jabar Gaffney for 16 yards (tackle by Earl Thomas),-0.850,0.150
3,9:28,1,10,WAS 19,7,7,Rex Grossman pass complete short right to Logan Paulsen for 11 yards (tackle by Richard Sherman),0.150,0.940
3,8:53,1,10,WAS 30,7,7,Roy Helu left tackle for 4 yards (tackle by Brandon Mebane),0.940,0.930
3,8:12,2,6,WAS 34,7,7,Rex Grossman pass incomplete short middle intended for Donte Stallworth (defended by Brandon Browner),0.930,0.230
3,8:08,3,6,WAS 34,7,7,Rex Grossman sacked by Anthony Hargrove for -8 yards,0.230,-1.630
3,7:43,4,14,WAS 26,7,7,"Saverio Rocca punts 39 yards, fair catch by Leon Washington",-1.630,-1.270
3,7:35,1,10,SEA 35,7,7,"Tarvaris Jackson pass incomplete deep left intended for Mike Williams. Penalty on Josh Wilson: Defensive Pass Interference, 44 yards (no play)",1.270,4.170
3,7:27,1,10,WAS 21,7,7,Marshawn Lynch right tackle for 2 yards (tackle by Stephen Bowen and Ryan Kerrigan),4.170,3.900
3,6:52,2,8,WAS 19,7,7,Marshawn Lynch up the middle for 1 yard (tackle by Ryan Kerrigan),3.900,3.310
3,6:07,3,7,WAS 18,7,7,Tarvaris Jackson pass incomplete deep middle intended for Golden Tate (defended by DeAngelo Hall),3.310,2.250
3,6:01,4,7,WAS 18,7,10,Steven Hauschka 36 yard field goal good,2.250,3.000
3,,,,SEA 35,7,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,0.280
3,5:58,1,10,WAS 20,7,10,Roy Helu right tackle for 1 yard (tackle by Clinton McDonald),0.280,-0.130
3,5:22,2,9,WAS 21,7,10,Rex Grossman pass complete short left to Logan Paulsen for 3 yards (tackle by Brandon Browner),-0.130,-0.430
3,4:40,3,6,WAS 24,7,10,"Rex Grossman pass incomplete deep left intended for Santana Moss. Penalty on K.J. Wright: Roughing the Passer, 15 yards (no play)",-0.430,1.530
3,4:34,1,10,WAS 39,7,10,Roy Helu right end for 6 yards (tackle by K.J. Wright and Richard Sherman),1.530,1.800
3,3:50,2,4,WAS 45,7,10,Rex Grossman pass incomplete short middle intended for Donte Stallworth,1.800,1.090
3,3:45,3,4,WAS 45,7,10,"Penalty on Rex Grossman: Delay of Game, 5 yards (no play)",1.090,0.430
3,3:44,3,9,WAS 40,7,10,Rex Grossman pass incomplete deep left intended for Santana Moss,0.430,-0.720
3,3:39,4,9,WAS 40,7,10,"Saverio Rocca punts 49 yards, returned by Leon Washington for 1 yard (tackle by Reed Doughty)",-0.720,0.350
3,3:28,1,10,SEA 12,7,10,Marshawn Lynch left tackle for 12 yards (tackle by LaRon Landry),-0.350,0.540
3,2:42,1,10,SEA 24,7,10,Marshawn Lynch right tackle for 7 yards (tackle by Brian Orakpo),0.540,0.940
3,2:10,2,3,SEA 31,7,10,Leon Washington left tackle for 4 yards (tackle by London Fletcher and Chris Neild),0.940,1.270
3,1:37,1,10,SEA 35,7,10,Tarvaris Jackson pass complete short right to Ben Obomanu for 11 yards (tackle by DeAngelo Hall),1.270,1.990
3,1:04,1,10,SEA 46,7,10,Leon Washington right tackle for 2 yards (tackle by Perry Riley and Barry Cofield),1.990,1.720
3,0:28,2,8,SEA 48,7,10,Leon Washington right tackle for 2 yards (tackle by London Fletcher and LaRon Landry),1.720,1.290
Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,,7,10,Tarvaris Jackson pass complete short middle to Doug Baldwin for 24 yards (tackle by DeAngelo Hall),1.290,3.840
4,14:30,1,10,WAS 26,7,10,Tarvaris Jackson pass complete short right to Michael Robinson for 7 yards (tackle by London Fletcher),3.840,4.270
4,14:02,2,3,WAS 19,7,10,Marshawn Lynch left tackle for 1 yard (tackle by Perry Riley and Adam Carriker),4.270,3.750
4,13:35,3,2,WAS 18,7,10,Marshawn Lynch right guard for 3 yards (tackle by London Fletcher and Perry Riley),3.750,4.580
4,12:50,1,10,WAS 15,7,10,Tarvaris Jackson pass incomplete short left intended for Marshawn Lynch (defended by Brian Orakpo),4.580,3.950
4,12:49,2,10,WAS 15,7,16,"Tarvaris Jackson pass complete short middle to Golden Tate for 15 yards, touchdown. Penalty on Golden Tate: Unsportsmanlike Conduct, 15 yards",3.950,7.000
4,,,,WAS 2,7,17,Steven Hauschka kicks extra point good,0.000,0.000
4,,,,SEA 20,7,17,"Steven Hauschka kicks off 69 yards, returned by Brandon Banks for 19 yards (tackle by Atari Bigby)",0.000,0.940
4,12:40,1,10,WAS 30,7,17,Rex Grossman pass complete short right to Fred Davis for 5 yards (tackle by LeRoy Hill),0.940,1.070
4,12:03,2,5,WAS 35,7,17,Rex Grossman pass complete short middle to Santana Moss for 13 yards (tackle by LeRoy Hill),1.070,2.130
4,11:27,1,10,WAS 48,7,17,Rex Grossman pass complete deep left to Jabar Gaffney for 17 yards (tackle by Earl Thomas),2.130,3.250
4,10:45,1,10,SEA 35,7,17,Rex Grossman pass complete short right to Roy Helu for 7 yards (tackle by K.J. Wright and Clinton McDonald),3.250,3.650
4,10:02,2,3,SEA 28,7,17,Rex Grossman pass incomplete short left intended for Terrence Austin,3.650,2.940
4,9:57,3,3,SEA 28,13,17,"Roy Helu left end for 28 yards, touchdown",2.940,7.000
4,,,,SEA 2,14,17,Graham Gano kicks extra point good,0.000,0.000
4,,,,WAS 35,14,17,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
4,9:51,1,10,SEA 20,14,17,Marshawn Lynch left guard for no gain (tackle by Perry Riley),0.280,-0.270
4,9:18,2,10,SEA 20,14,17,Marshawn Lynch left tackle for 4 yards (tackle by Perry Riley and London Fletcher),-0.270,-0.430
4,8:31,3,6,SEA 24,14,17,Tarvaris Jackson sacked by LaRon Landry for -9 yards. Penalty on Golden Tate: Illegal Motion (Declined),-0.430,-2.440
4,8:05,4,15,SEA 15,14,17,"Jon Ryan punts 46 yards, returned by Brandon Banks for 5 yards (tackle by Chris Maragos)",-2.440,-1.860
4,7:55,1,10,WAS 44,14,17,Rex Grossman pass complete short left to Mike Sellers for 15 yards (tackle by Brandon Browner),1.860,2.850
4,7:19,1,10,SEA 41,14,17,Roy Helu right end for 3 yards (tackle by David Hawthorne),2.850,2.710
4,6:31,2,7,SEA 38,14,17,"Rex Grossman pass incomplete. Penalty on Rex Grossman: Intentional Grounding, 12 yards",2.710,0.430
4,6:26,3,19,,20,17,"Rex Grossman pass complete deep left to Anthony Armstrong for 50 yards, touchdown. Penalty on Brandon Browner: Defensive Pass Interference (Declined)",0.430,7.000
4,,,,SEA 2,20,17,Graham Gano kicks extra point no good,0.000,-1.000
4,,,,WAS 35,20,17,Graham Gano kicks off 57 yards,0.000,1.600
4,6:18,1,10,SEA 40,20,17,"Tarvaris Jackson pass complete short right to Michael Robinson for 3 yards (tackle by Perry Riley). Penalty on Breno Giacomini: Chop Block, 15 yards (no play)",1.600,0.610
4,5:47,1,25,SEA 25,20,17,Marshawn Lynch left tackle for 3 yards (tackle by Adam Carriker and Stephen Bowen),0.610,-0.570
4,5:13,2,22,SEA 28,20,17,Tarvaris Jackson pass complete short middle to Doug Baldwin for 11 yards (tackle by London Fletcher),-0.570,0.230
4,4:31,3,11,SEA 39,20,17,Tarvaris Jackson pass incomplete deep middle intended for Doug Baldwin (defended by LaRon Landry),0.230,-0.780
4,4:26,4,11,SEA 39,20,17,"Jon Ryan punts 45 yards, returned by Brandon Banks for 1 yard (tackle by Atari Bigby)",-0.780,0.060
4,4:16,1,10,WAS 17,20,17,"Rex Grossman for no gain. Rex Grossman fumbles, recovered by Rex Grossman at WAS-9",-0.060,-1.360
4,4:10,,,,20,17,Timeout #2 by Seattle Seahawks,0.000,-1.360
4,4:10,2,18,WAS 9,20,17,Roy Helu right guard for 5 yards (tackle by Clinton McDonald),-1.360,-1.720
4,3:26,3,13,WAS 14,20,17,Rex Grossman pass complete short right to Roy Helu for 2 yards (tackle by Richard Sherman and LeRoy Hill),-1.720,-2.390
4,2:42,4,11,WAS 16,20,17,"Saverio Rocca punts 51 yards. Penalty on Brandon Browner: Unnecessary Roughness, 15 yards",-2.390,-0.040
4,2:34,1,10,SEA 18,20,17,Tarvaris Jackson pass incomplete short right intended for Ben Obomanu (defended by DeAngelo Hall),0.040,-0.490
4,2:31,2,10,SEA 18,20,17,Tarvaris Jackson pass complete short right to Ben Obomanu for 8 yards,-0.490,-0.140
4,2:26,3,2,SEA 26,20,17,"Tarvaris Jackson pass incomplete short right intended for Ben Obomanu. Penalty on Breno Giacomini: Ineligible Downfield Pass, 5 yards (no play)",-0.140,-0.790
4,2:18,3,7,SEA 21,20,17,Tarvaris Jackson pass complete short right to Zach Miller for 2 yards (tackle by Perry Riley),-0.790,-1.830
4,2:13,4,5,SEA 23,20,17,Tarvaris Jackson sacked by Brian Orakpo and Ryan Kerrigan for -9 yards,-1.830,-4.650
4,2:07,1,10,SEA 14,20,17,Roy Helu left guard for 2 yards (tackle by David Hawthorne and K.J. Wright),4.650,4.330
4,2:00,2,8,SEA 12,20,17,Roy Helu left guard for 2 yards (tackle by David Hawthorne),4.330,3.820
4,1:55,,,,20,17,Timeout #3 by Seattle Seahawks,0.000,3.820
4,1:55,3,6,SEA 10,20,17,Roy Helu right end for 3 yards (tackle by Brandon Mebane),3.820,2.990
4,1:09,,,,20,17,Timeout #1 by Washington Redskins,0.000,2.990
4,1:09,4,3,SEA 7,23,17,Graham Gano 25 yard field goal good,2.990,3.000
4,,,,WAS 35,23,17,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
4,1:06,1,10,SEA 20,23,17,Tarvaris Jackson pass complete short right to Justin Forsett for 1 yard (tackle by Perry Riley),0.280,-0.130
4,0:45,2,9,SEA 21,23,17,Tarvaris Jackson pass incomplete deep middle intended for Doug Baldwin (defended by Kevin Barnes),-0.130,-0.820
4,0:44,3,9,SEA 21,23,17,Tarvaris Jackson pass incomplete deep middle intended for Golden Tate is intercepted by DeAngelo Hall at SEA-38 and returned for 3 yards (tackle by Golden Tate),-0.820,-3.250
4,0:37,1,10,SEA 35,23,17,"Rex Grossman kneels for -1 yards. Penalty on WAS: Offensive 12 On-field, 5 yards (no play)",3.250,2.920
4,0:36,1,15,SEA 40,23,17,Rex Grossman kneels for -1 yards,2.920,1.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
