#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,WAS 20,14,7:49,80,Touchdown
2,1,5:13,WAS 4,7,4:34,57,Punt
3,2,11:59,WAS 22,2,0:51,1,Interception
4,2,11:01,WAS 34,11,5:44,61,Missed FG
5,2,0:44,WAS 2,3,0:44,0,End of Half
6,3,12:03,WAS 41,1,0:10,0,Interception
7,3,10:42,WAS 4,6,3:07,22,Punt
8,3,5:58,WAS 20,5,2:30,20,Punt
9,4,12:45,WAS 30,6,2:54,70,Touchdown
10,4,7:55,WAS 44,4,1:37,56,Touchdown
11,4,4:16,WAS 17,3,1:42,-1,Punt
12,4,2:07,SEA 14,4,1:01,7,Field Goal
13,4,0:37,SEA 35,1,0:37,-6,End of Game
