Unnamed: 0,WAS,SEA
First Downs,22,15
Rush-Yds-TDs,29-110-1,30-124-0
Cmp-Att-Yd-TD-INT,26-35-314-2-2,14-30-144-2-1
Sacked-Yards,1-8,2-18
Net Pass Yards,306,126
Total Yards,416,250
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,10-115,9-91
Third Down Conv.,3-10,6-16
Fourth Down Conv.,0-0,0-1
Time of Possession,33:20,26:40
