Unnamed: 0,IND,JAX
First Downs,19,11
Rush-Yds-TDs,16-41-0,27-79-0
Cmp-Att-Yd-TD-INT,33-52-248-0-1,18-24-150-0-0
Sacked-Yards,3-24,3-18
Net Pass Yards,224,132
Total Yards,265,211
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,6-65,8-74
Third Down Conv.,5-18,6-15
Fourth Down Conv.,0-3,0-0
Time of Possession,30:27,29:33
