Unnamed: 0,WAS,NOR
First Downs,18,27
Rush-Yds-TDs,18-39-2,32-98-3
Cmp-Att-Yd-TD-INT,23-39-275-0-1,26-29-363-3-0
Sacked-Yards,3-31,2-14
Net Pass Yards,244,349
Total Yards,283,447
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,6-38,4-45
Third Down Conv.,4-13,5-9
Fourth Down Conv.,2-4,0-0
Time of Possession,26:43,33:17
