Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Chris Thompson,WAS,8,17,0,2,12,1.5,5,0.6,0,
Kapri Bibbs,WAS,4,9,1,1,4,1.0,5,1.3,1,4.0
Adrian Peterson,WAS,4,6,0,1,-1,-0.3,7,1.8,0,
Alex Smith,WAS,2,7,1,2,7,3.5,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Ingram,NOR,16,53,2,5,20,1.3,33,2.1,3,5.3
Alvin Kamara,NOR,6,24,0,,19,3.2,5,0.8,0,
Taysom Hill,NOR,5,23,1,3,9,1.8,14,2.8,0,
Teddy Bridgewater,NOR,3,-3,0,,-3,-1.0,0,0.0,0,
Drew Brees,NOR,2,1,0,0,1,0.5,0,0.0,0,
