Quarter,Time,Tm,Detail,MIN,HOU
1.0,5:05,Vikings,Dalvin Cook 5 yard rush (Dan Bailey kick),7,0
2.0,12:41,Vikings,Dan Bailey 31 yard field goal,10,0
,8:46,Texans,Ka'imi Fairbairn 50 yard field goal,10,3
,1:53,Vikings,Dalvin Cook 7 yard rush (Dan Bailey kick),17,3
,0:27,Texans,Ka'imi Fairbairn 28 yard field goal,17,6
3.0,9:47,Texans,Will Fuller 24 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,13
,5:30,Texans,Ka'imi Fairbairn 25 yard field goal,17,16
,0:41,Vikings,Adam Thielen 9 yard pass from Kirk Cousins (Dan Bailey kick),24,16
4.0,10:50,Vikings,Alexander Mattison 4 yard rush (Dan Bailey kick),31,16
,5:52,Texans,Kenny Stills 24 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),31,23
