Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
1,8:36,1,10,HOU 27,0,0,Dalvin Cook left end for 1 yard (tackle by Bradley Roby),3.780,3.370
1,7:51,2,9,HOU 26,0,0,Kirk Cousins pass complete short right to Dalvin Cook for 11 yards (tackle by Bradley Roby),3.370,4.580
1,7:10,1,10,HOU 15,0,0,Dalvin Cook left guard for 6 yards (tackle by Justin Reid and P.J. Hall),4.580,5.030
1,6:29,2,4,HOU 9,0,0,Alexander Mattison left guard for 2 yards (tackle by Carlos Watkins and P.J. Hall),5.030,4.680
1,5:48,3,2,HOU 7,0,0,Dalvin Cook up the middle for 2 yards (tackle by Benardrick McKinney),4.680,6.060
1,5:11,1,5,HOU 5,6,0,"Dalvin Cook up the middle for 5 yards, touchdown",6.060,7.000
1,5:05,,,HOU 15,7,0,Dan Bailey kicks extra point good,0.000,0.000
1,5:05,,,MIN 35,7,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,5:05,1,10,HOU 25,7,0,David Johnson right end for -1 yards (tackle by Jeff Gladney and Eric Wilson),0.610,-0.070
1,4:35,2,11,HOU 24,7,0,Deshaun Watson pass complete short right to Will Fuller for 10 yards (tackle by Harrison Smith and Holton Hill),-0.070,0.560
1,4:07,3,1,HOU 34,7,0,David Johnson up the middle for 5 yards (tackle by Harrison Smith and Jaleel Johnson),0.560,1.530
1,3:41,1,10,HOU 39,7,0,Deshaun Watson pass incomplete short left intended for Brandin Cooks,1.530,0.990
1,3:36,2,10,HOU 39,7,0,Deshaun Watson right end for 2 yards (tackle by Shamar Stephen),0.990,0.560
1,3:00,3,8,HOU 41,7,0,Deshaun Watson pass incomplete short right intended for Kenny Stills (defended by Holton Hill),0.560,-0.650
1,2:56,4,8,HOU 41,7,0,"Bryan Anger punts 59 yards, touchback.",-0.650,-0.280
1,2:48,1,10,MIN 20,7,0,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Bradley Roby),0.280,-0.270
1,2:42,2,10,MIN 20,7,0,Alexander Mattison right tackle for 2 yards (tackle by Zach Cunningham and Brandon Dunn),-0.270,-0.690
1,2:00,3,8,MIN 22,7,0,Kirk Cousins right end for 2 yards (tackle by J.J. Watt),-0.690,-1.770
1,1:18,4,6,MIN 24,7,0,"Britton Colquitt punts 42 yards, returned by DeAndre Carter for 1 yard (tackle by Mike Boone). DeAndre Carter fumbles (forced by Mike Boone), recovered by Dan Chisena at HOU-35 (tackle by Keion Crossen). Penalty on Keion Crossen: Offensive Holding (Declined)",-1.770,3.250
1,1:07,1,10,HOU 35,7,0,Adam Thielen right end for 8 yards (tackle by Brennan Scarlett),3.250,3.780
1,0:27,2,2,HOU 27,7,0,Dalvin Cook right end for 1 yard (tackle by Zach Cunningham and Phillip Gaines),3.780,3.200
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,HOU 26,7,0,Dalvin Cook left end for 6 yards (tackle by Zach Cunningham and Brandon Dunn),3.200,4.240
2,14:23,1,10,HOU 20,7,0,Kirk Cousins pass incomplete deep left intended for Irv Smith,4.240,3.690
2,14:16,2,10,HOU 20,7,0,Dalvin Cook left guard for 4 yards (tackle by Zach Cunningham),3.690,3.520
2,13:30,,,,,,Timeout #1 by Minnesota Vikings,,
2,13:30,3,6,HOU 16,7,0,Kirk Cousins pass complete short middle to Adam Thielen for 3 yards (tackle by Jacob Martin and Tyrell Adams),3.520,2.670
2,12:45,4,3,HOU 13,10,0,Dan Bailey 31 yard field goal good,2.670,3.000
2,12:41,,,MIN 35,10,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,12:41,1,10,HOU 25,10,0,Deshaun Watson pass complete short left to Will Fuller for 8 yards (tackle by Eric Kendricks and Eric Wilson),0.610,1.140
2,12:12,2,2,HOU 33,10,0,David Johnson left guard for 6 yards (tackle by Eric Wilson and Eric Kendricks),1.140,1.530
2,11:44,1,10,HOU 39,10,0,David Johnson right guard for 5 yards (tackle by Eric Kendricks),1.530,1.660
2,11:13,2,5,HOU 44,10,0,David Johnson up the middle for 4 yards (tackle by Cameron Dantzler),1.660,1.490
2,10:42,3,1,HOU 48,10,0,David Johnson right tackle for 4 yards (tackle by Jeff Gladney),1.490,2.390
2,10:15,1,10,MIN 48,10,0,Deshaun Watson pass complete short left to Duke Johnson for 15 yards (tackle by Cameron Dantzler),2.390,3.380
2,9:38,1,10,MIN 33,10,0,Duke Johnson left end for 1 yard (tackle by Eric Kendricks),3.380,2.970
2,9:00,2,9,MIN 32,10,0,Deshaun Watson pass incomplete short right intended for Randall Cobb,2.970,2.280
2,8:56,3,9,MIN 32,10,0,Deshaun Watson pass incomplete short right intended for Brandin Cooks (defended by Eric Kendricks),2.280,1.240
2,8:50,4,9,MIN 32,10,3,Ka'imi Fairbairn 50 yard field goal good,1.240,3.000
2,8:46,,,HOU 35,10,3,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,8:46,1,10,MIN 25,10,3,Kirk Cousins pass complete short left to Kyle Rudolph for 8 yards (tackle by Zach Cunningham),0.610,1.140
2,8:17,2,2,MIN 33,10,3,Dalvin Cook right tackle for 3 yards (tackle by Zach Cunningham),1.140,1.330
2,7:38,1,10,MIN 36,10,3,Kirk Cousins pass complete deep left to Justin Jefferson for 26 yards (tackle by Vernon Hargreaves),1.330,3.050
2,6:49,1,10,HOU 38,10,3,Dalvin Cook left guard for no gain (tackle by Brennan Scarlett),3.050,2.510
2,6:07,2,10,HOU 38,10,3,Kirk Cousins pass incomplete deep left intended for Olabisi Johnson,2.510,1.820
2,6:01,3,10,HOU 38,10,3,Kirk Cousins pass complete short middle to Adam Thielen for 8 yards (tackle by Jacob Martin and Tyrell Adams),1.820,1.500
2,5:15,4,2,HOU 30,10,3,Kirk Cousins left end for 5 yards (tackle by Vernon Hargreaves),1.500,3.910
2,4:39,1,10,HOU 25,10,3,Kirk Cousins pass complete short right to Adam Thielen for 5 yards (tackle by Bradley Roby),3.910,4.040
2,3:57,2,5,HOU 20,10,3,Dalvin Cook up the middle for 4 yards (tackle by Phillip Gaines and J.J. Watt),4.040,4.060
2,3:13,3,1,HOU 16,10,3,C.J. Ham right guard for 2 yards (tackle by Benardrick McKinney and P.J. Hall),4.060,4.650
2,2:33,1,10,HOU 14,10,3,Dalvin Cook right tackle for 7 yards (tackle by Vernon Hargreaves),4.650,5.280
2,2:00,2,3,HOU 7,16,3,"Dalvin Cook up the middle for 7 yards, touchdown",5.280,7.000
2,1:53,,,HOU 15,17,3,Dan Bailey kicks extra point good,0.000,0.000
2,1:53,,,MIN 35,17,3,"Dan Bailey kicks off 62 yards, returned by DeAndre Carter for 29 yards (tackle by Josh Metellus)",0.000,1.070
2,1:47,1,10,HOU 32,17,3,Duke Johnson up the middle for 8 yards (tackle by Eric Kendricks),1.070,1.610
2,1:26,2,2,HOU 40,17,3,Deshaun Watson pass complete short left to Jordan Akins for 14 yards (tackle by Eric Wilson and Holton Hill),1.610,2.520
2,1:17,,,,,,Timeout #1 by Houston Texans,,
2,1:17,1,10,MIN 46,17,3,Deshaun Watson pass incomplete short left intended for Kenny Stills,2.520,1.980
2,1:13,2,10,MIN 46,17,3,"Deshaun Watson pass complete deep middle to Jordan Akins for 26 yards (tackle by Harrison Smith and Eric Kendricks). Penalty on Harrison Smith: Disqualification, 10 yards",1.980,4.910
2,1:05,1,10,MIN 10,17,3,Deshaun Watson sacked by Yannick Ngakoue for no gain,4.910,4.190
2,0:42,2,10,MIN 10,17,3,Deshaun Watson pass incomplete short right intended for Randall Cobb,4.190,3.130
2,0:35,3,10,MIN 10,17,3,Deshaun Watson pass incomplete short left intended for Duke Johnson,3.130,2.760
2,0:30,4,10,MIN 10,17,6,Ka'imi Fairbairn 28 yard field goal good,2.760,3.000
2,0:27,,,HOU 35,17,6,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,0:27,1,10,MIN 25,17,6,Alexander Mattison left guard for 3 yards (tackle by Justin Reid and Carlos Watkins),0.610,0.470
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,17,6,"Ka'imi Fairbairn kicks off 62 yards, returned by K.J. Osborn for 20 yards (tackle by Michael Thomas)",0.000,0.480
3,14:56,1,10,MIN 23,17,6,Dalvin Cook left guard for 4 yards (tackle by P.J. Hall),0.480,0.470
3,14:21,2,6,MIN 27,17,6,Kirk Cousins sacked by Whitney Mercilus for -5 yards,0.470,-0.890
3,13:41,3,11,MIN 22,17,6,Kirk Cousins pass complete short right to Dalvin Cook for 5 yards (tackle by Whitney Mercilus and Jacob Martin),-0.890,-1.570
3,12:57,4,6,MIN 27,17,6,"Britton Colquitt punts 46 yards, fair catch by DeAndre Carter at HOU-27",-1.570,-0.740
3,12:49,1,10,HOU 27,17,6,Deshaun Watson pass complete short middle to Randall Cobb for 13 yards (tackle by George Iloka),0.740,1.600
3,12:25,1,10,HOU 40,17,6,Deshaun Watson pass complete short left to Darren Fells for 7 yards (tackle by Cameron Dantzler and Eric Wilson),1.600,2.000
3,12:00,2,3,HOU 47,17,6,Deshaun Watson left end for 5 yards (tackle by Eric Wilson),2.000,2.390
3,11:29,1,10,MIN 48,17,6,David Johnson up the middle for 3 yards (tackle by Todd Davis),2.390,2.250
3,10:54,2,7,MIN 45,17,6,Deshaun Watson pass complete short left to Duke Johnson for 6 yards (tackle by Cameron Dantzler),2.250,2.340
3,10:18,3,1,MIN 39,17,6,David Johnson left end for 15 yards (tackle by Anthony Harris),2.340,3.970
3,9:52,1,10,MIN 24,17,12,"Deshaun Watson pass complete deep left to Will Fuller for 24 yards, touchdown",3.970,7.000
3,9:47,,,MIN 15,17,13,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,9:47,,,HOU 35,17,13,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,9:47,1,10,MIN 25,17,13,Kirk Cousins pass complete deep left to Adam Thielen for 39 yards (tackle by Bradley Roby),0.610,3.180
3,9:08,1,10,HOU 36,17,13,Dalvin Cook left end for 2 yards (tackle by Brennan Scarlett),3.180,2.910
3,8:24,2,8,HOU 34,17,13,Dalvin Cook right guard for 7 yards (tackle by Brandon Dunn and Zach Cunningham),2.910,3.140
3,7:39,3,1,HOU 27,17,13,"Kirk Cousins pass incomplete deep right intended for Adam Thielen. Penalty on Dakota Dozier: Offensive Holding, 10 yards (no play)",3.140,1.820
3,7:32,3,11,HOU 37,17,13,Kirk Cousins pass incomplete short left intended for Justin Jefferson,1.820,0.790
3,7:29,4,11,HOU 37,17,13,Dan Bailey 55 yard field goal no good,0.790,-1.930
3,7:24,1,10,HOU 45,17,13,David Johnson up the middle for 4 yards (tackle by Shamar Stephen and Eric Kendricks),1.930,1.920
3,6:59,2,6,HOU 49,17,13,Deshaun Watson pass complete deep right to Will Fuller for 43 yards (tackle by Jeff Gladney),1.920,5.370
3,6:26,1,8,MIN 8,17,13,Deshaun Watson pass incomplete short right,5.370,4.570
3,6:21,2,8,MIN 8,17,13,David Johnson left tackle for 1 yard (tackle by Eric Kendricks and Jalyn Holmes),4.570,3.810
3,5:40,3,7,MIN 7,17,13,Deshaun Watson pass incomplete short right,3.810,2.970
3,5:33,4,7,MIN 7,17,16,Ka'imi Fairbairn 25 yard field goal good,2.970,3.000
3,5:30,,,HOU 35,17,16,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,5:30,1,10,MIN 25,17,16,Dalvin Cook right end for 13 yards (tackle by Bradley Roby),0.610,1.470
3,4:57,1,10,MIN 38,17,16,Dalvin Cook left guard for 2 yards (tackle by Benardrick McKinney and P.J. Hall),1.470,1.190
3,4:15,2,8,MIN 40,17,16,Kirk Cousins sacked by P.J. Hall for -2 yards,1.190,0.230
3,3:31,3,10,MIN 38,17,16,Kirk Cousins pass complete deep right to Justin Jefferson for 23 yards (tackle by Lonnie Johnson),0.230,2.980
3,2:48,1,10,HOU 39,17,16,Kirk Cousins pass complete deep right to Kyle Rudolph for 19 yards (tackle by Bradley Roby),2.980,4.240
3,2:15,1,10,HOU 20,17,16,Dalvin Cook right end for 6 yards (tackle by Zach Cunningham),4.240,4.640
3,1:30,2,4,HOU 14,17,16,Dalvin Cook left end for 5 yards (tackle by Ross Blacklock and Benardrick McKinney),4.640,5.140
3,0:46,1,9,HOU 9,23,16,"Kirk Cousins pass complete short middle to Adam Thielen for 9 yards, touchdown. Penalty on Vernon Hargreaves: Defensive Holding (Declined)",5.140,7.000
3,0:41,,,HOU 15,24,16,Dan Bailey kicks extra point good,0.000,0.000
3,0:41,,,MIN 35,24,16,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,0:41,1,10,HOU 25,24,16,David Johnson up the middle for 2 yards (tackle by Eric Kendricks and Armon Watts),0.610,0.330
3,0:08,2,8,HOU 27,24,16,Deshaun Watson pass complete short right to Will Fuller for 4 yards (tackle by Jeff Gladney),0.330,0.170
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,HOU 31,24,16,Deshaun Watson up the middle for 1 yard (tackle by Yannick Ngakoue),0.170,-1.240
4,14:17,4,3,HOU 32,24,16,"Bryan Anger punts 41 yards, fair catch by K.J. Osborn at MIN-27",-1.240,-0.740
4,14:10,1,10,MIN 27,24,16,Dalvin Cook right guard for 3 yards (tackle by Benardrick McKinney and P.J. Hall),0.740,0.600
4,13:37,2,7,MIN 30,24,16,Dalvin Cook left tackle for 1 yard (tackle by Zach Cunningham),0.600,0.040
4,12:54,3,6,MIN 31,24,16,Kirk Cousins pass complete deep left to Justin Jefferson for 25 yards (tackle by Phillip Gaines),0.040,2.650
4,12:14,1,10,HOU 44,24,16,Kirk Cousins pass complete deep right to Adam Thielen for 25 yards (tackle by Eric Murray),2.650,4.310
4,11:27,1,10,HOU 19,24,16,Dalvin Cook right tackle for 15 yards (tackle by Brennan Scarlett),4.310,6.280
4,10:54,1,4,HOU 4,30,16,"Alexander Mattison right guard for 4 yards, touchdown",6.280,7.000
4,10:50,,,HOU 15,31,16,Dan Bailey kicks extra point good,0.000,0.000
4,10:50,,,MIN 35,31,16,"Dan Bailey kicks off 64 yards, returned by DeAndre Carter for 22 yards (tackle by C.J. Ham)",0.000,0.480
4,10:46,1,10,HOU 23,31,16,Duke Johnson left guard for 7 yards (tackle by Eric Kendricks and Eric Wilson),0.480,0.880
4,10:17,2,3,HOU 30,31,16,Deshaun Watson pass complete short middle to Darren Fells for 14 yards (tackle by George Iloka),0.880,1.860
4,9:53,1,10,HOU 44,31,16,Duke Johnson right guard for 2 yards (tackle by Yannick Ngakoue),1.860,1.590
4,9:18,2,8,HOU 46,31,16,Deshaun Watson pass complete short middle to Will Fuller for 19 yards (tackle by George Iloka),1.590,3.250
4,8:45,1,10,MIN 35,31,16,David Johnson left end for 6 yards (tackle by Holton Hill),3.250,3.510
4,8:21,2,4,MIN 29,31,16,"Deshaun Watson pass incomplete short right. Penalty on Holton Hill: Defensive Holding, 5 yards (no play)",3.510,3.970
4,8:13,1,10,MIN 24,31,16,"David Johnson left tackle for 4 yards (tackle by Todd Davis and Eric Kendricks). Penalty on Pharaoh Brown: Offensive Holding, 10 yards (no play)",3.970,3.310
4,7:56,1,20,MIN 34,31,16,"Deshaun Watson for -128 yards. Deshaun Watson fumbles, recovered by Deshaun Watson at MIN-39 Deshaun Watson sacked by Yannick Ngakoue for -3 yards",3.310,1.680
4,7:24,2,23,MIN 37,31,16,Deshaun Watson pass complete short left to Duke Johnson for no gain (tackle by Anthony Harris),1.680,1.030
4,6:41,3,23,MIN 37,31,16,Deshaun Watson pass complete short left to David Johnson for 13 yards (tackle by Todd Davis and Anthony Harris),1.030,1.870
4,5:59,4,10,MIN 24,31,22,"Deshaun Watson pass complete deep right to Kenny Stills for 24 yards, touchdown",1.870,7.000
4,5:52,,,MIN 15,31,23,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,5:52,,,HOU 35,31,23,"Ka'imi Fairbairn kicks off 62 yards, returned by K.J. Osborn for 20 yards (tackle by Pharaoh Brown)",0.000,0.480
4,5:48,1,10,MIN 23,31,23,Kirk Cousins pass complete short left to Adam Thielen for 7 yards (tackle by Justin Reid),0.480,0.880
4,5:04,2,3,MIN 30,31,23,Dalvin Cook left guard for 3 yards (tackle by Benardrick McKinney and Whitney Mercilus),0.880,1.140
4,4:20,1,10,MIN 33,31,23,Dalvin Cook left guard for 9 yards (tackle by Justin Reid),1.140,1.810
4,3:33,2,1,MIN 42,31,23,Alexander Mattison right guard for 2 yards (tackle by J.J. Watt and Zach Cunningham),1.810,1.860
4,3:22,,,,,,Timeout #1 by Houston Texans,,
4,3:22,1,10,MIN 44,31,23,Alexander Mattison right guard for no gain (tackle by Tyrell Adams),1.860,1.320
4,3:15,,,,,,Timeout #2 by Houston Texans,,
4,3:15,2,10,MIN 44,31,23,Alexander Mattison left tackle for 4 yards (tackle by Brandon Dunn),1.320,1.160
4,3:10,,,,,,Timeout #3 by Houston Texans,,
4,3:10,3,6,MIN 48,31,23,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Bradley Roby),1.160,-0.190
4,3:04,4,6,MIN 48,31,23,"Britton Colquitt punts 41 yards, returned by DeAndre Carter for 13 yards (tackle by Josh Metellus)",-0.190,-0.540
4,2:53,1,10,HOU 24,31,23,Deshaun Watson pass incomplete short right intended for Brandin Cooks,0.540,0.000
4,2:49,2,10,HOU 24,31,23,Duke Johnson left tackle for 6 yards (tackle by Eric Wilson and Jalyn Holmes),0.000,0.100
4,2:27,3,4,HOU 30,31,23,"Deshaun Watson pass incomplete short left intended for Will Fuller (defended by Holton Hill). Penalty on Holton Hill: Defensive Pass Interference, 11 yards (no play)",0.100,1.660
4,2:22,1,10,HOU 41,31,23,Deshaun Watson right end for 1 yard (tackle by Ifeadi Odenigbo),1.660,1.260
4,2:13,2,9,HOU 42,31,23,Deshaun Watson pass complete short middle to Randall Cobb for 23 yards (tackle by Eric Kendricks),1.260,3.250
4,2:06,1,10,MIN 35,31,23,Deshaun Watson pass complete short right to Kenny Stills for 15 yards,3.250,4.240
4,2:01,1,10,MIN 20,31,23,Deshaun Watson pass complete short right to David Johnson for 16 yards (tackle by Eric Kendricks),4.240,6.280
4,1:54,1,4,MIN 4,31,23,David Johnson right guard for 3 yards (tackle by George Iloka and Anthony Harris),6.280,5.910
4,1:26,2,1,MIN 1,31,23,David Johnson up the middle for no gain (tackle by Anthony Harris),5.910,5.170
4,1:18,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:18,3,1,MIN 1,31,23,"Deshaun Watson aborted snap, recovered by David Johnson at MIN-5 (tackle by George Iloka)",5.170,3.010
4,1:15,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:15,4,5,MIN 5,31,23,Deshaun Watson pass incomplete short left intended for Will Fuller,3.010,0.380
4,1:12,1,10,MIN 5,31,23,Kirk Cousins kneels for -1 yards,-0.380,-0.850
4,0:38,2,11,MIN 4,31,23,Kirk Cousins kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
