Unnamed: 0,ARI,LAR
First Downs,22,25
Rush-Yds-TDs,17-71-1,33-113-1
Cmp-Att-Yd-TD-INT,27-43-325-2-2,29-45-319-3-0
Sacked-Yards,1-3,1-8
Net Pass Yards,322,311
Total Yards,393,424
Fumbles-Lost,3-3,0-0
Turnovers,5,0
Penalties-Yards,8-63,10-91
Third Down Conv.,5-10,11-18
Fourth Down Conv.,0-0,0-1
Time of Possession,23:02,36:58
