Quarter,Time,Tm,Detail,ARI,LAR
1.0,9:12,Rams,Greg Zuerlein 47 yard field goal,0,3
,3:54,Cardinals,Dan Arnold 23 yard pass from Kyler Murray (Zane Gonzalez kick),7,3
2.0,10:54,Rams,Malcolm Brown 3 yard rush (Greg Zuerlein kick),7,10
,3:49,Rams,Cooper Kupp 6 yard pass from Jared Goff (Greg Zuerlein kick),7,17
,0:04,Cardinals,Zane Gonzalez 31 yard field goal,10,17
3.0,4:43,Cardinals,Damiere Byrd 3 yard pass from Kyler Murray (Zane Gonzalez kick),17,17
4.0,13:34,Rams,Tyler Higbee 4 yard pass from Jared Goff (Greg Zuerlein kick),17,24
,7:52,Rams,Robert Woods 11 yard pass from Jared Goff (Greg Zuerlein kick),17,31
,3:53,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),24,31
