Quarter,Time,Tm,Detail,DEN,NYG
1.0,9:57,Broncos,Jason Elam 49 yard field goal,3,0
,7:02,Giants,Plaxico Burress 18 yard pass from Eli Manning (Jay Feely kick),3,7
,1:41,Broncos,Jason Elam 42 yard field goal,6,7
2.0,5:45,Broncos,Mike Anderson 2 yard rush (Jason Elam kick),13,7
,1:03,Giants,Jay Feely 52 yard field goal,13,10
3.0,13:26,Broncos,Kyle Johnson 4 yard pass from Jake Plummer (Jason Elam kick),20,10
4.0,13:18,Broncos,Jason Elam 27 yard field goal,23,10
,9:07,Giants,Tiki Barber 4 yard rush (Jay Feely kick),23,17
,0:05,Giants,Amani Toomer 2 yard pass from Eli Manning (Jay Feely kick),23,24
