Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
1,1:09,2,9,NYG 21,6,7,Eli Manning pass complete to Jeremy Shockey for 16 yards (tackle by Nick Ferguson and John Lynch),-0.130,1.400
1,0:26,1,10,NYG 37,6,7,Tiki Barber right tackle for no gain (tackle by Al Wilson and John Lynch),1.400,0.860
Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,NYG 37,6,7,Eli Manning pass complete to Jeremy Shockey for 4 yards (tackle by Domonique Foxworth and Ian Gold),0.860,0.700
2,14:23,3,6,NYG 41,6,7,Eli Manning pass incomplete intended for Jeremy Shockey,0.700,-0.650
2,14:14,4,6,NYG 41,6,7,"Jeff Feagles punts 48 yards, returned by Darrent Williams for 2 yards (tackle by Curtis DeLoatch)",-0.650,0.320
2,14:04,1,10,DEN 13,6,7,Jake Plummer pass complete to Rod Smith for 37 yards (tackle by Curtis DeLoatch),-0.320,2.260
2,13:39,1,10,NYG 50,6,7,Jake Plummer pass complete to Jeb Putzier for 4 yards (tackle by Antonio Pierce),2.260,2.250
2,13:06,2,6,NYG 46,6,7,Mike Anderson right tackle for 13 yards (tackle by Gibril Wilson and Brent Alexander),2.250,3.380
2,12:29,1,10,NYG 33,6,7,Mike Anderson left end for 3 yards (tackle by Antonio Pierce and Brent Alexander),3.380,3.240
2,11:44,2,7,NYG 30,6,7,Tatum Bell left tackle for no gain (tackle by Carlos Emmons and Michael Strahan),3.240,2.540
2,11:00,3,7,NYG 30,6,7,"Penalty on Matt Lepsis: False Start, 5 yards (no play)",2.540,1.880
2,10:37,3,12,NYG 35,6,7,"Jake Plummer sacked by Osi Umenyiora for -4 yards. Penalty on Osi Umenyiora: Defensive Offside, 5 yards (no play)",1.880,2.540
2,10:07,3,7,NYG 30,6,7,Tatum Bell left end for 5 yards (tackle by Will Allen),2.540,1.930
2,9:27,,,,6,7,Timeout #1 by Denver Broncos,0.000,1.930
2,9:27,4,2,NYG 25,6,7,Mike Anderson left tackle for 7 yards (tackle by Carlos Emmons),1.930,4.370
2,8:53,1,10,NYG 18,6,7,Mike Anderson left tackle for 6 yards (tackle by Antonio Pierce),4.370,4.810
2,8:18,2,4,NYG 12,6,7,Mike Anderson up the middle for 2 yards (tackle by Antonio Pierce),4.810,4.510
2,7:44,3,2,NYG 10,6,7,Jake Plummer pass complete to Jeb Putzier for 5 yards (tackle by Brent Alexander),4.510,6.060
2,7:01,1,5,NYG 5,6,7,Mike Anderson left guard for no gain (tackle by William Joseph and Osi Umenyiora),6.060,5.150
2,6:23,2,5,NYG 5,6,7,"Tatum Bell right guard for 1 yard (tackle by Carlos Emmons and Antonio Pierce). Penalty on Antonio Pierce: Personal Foul, 2 yards",5.150,6.740
2,5:56,1,2,NYG 2,12,7,"Mike Anderson left tackle for 2 yards, touchdown. Penalty on Michael Strahan: Unsportsmanlike Conduct, 15 yards",6.740,7.000
2,,,,NYG 2,13,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 45,13,7,Todd Sauerbrun kicks off 39 yards,0.000,0.610
2,5:45,1,10,NYG 25,13,7,Eli Manning pass incomplete intended for Tim Carter,0.610,0.060
2,5:37,2,10,NYG 25,13,7,Tiki Barber right guard for 4 yards (tackle by Al Wilson and Courtney Brown),0.060,-0.100
2,4:58,3,6,NYG 29,13,7,"Eli Manning pass incomplete intended for Plaxico Burress is intercepted by John Lynch at 50 and returned for 6 yards. Penalty on Champ Bailey: Defensive Pass Interfere, 12 yards (no play)",-0.100,1.660
,,,,,,,"DEN challenged the ruling, and the play was upheld.",,
2,4:42,1,10,NYG 41,13,7,Tiki Barber right end for 2 yards (tackle by D.J. Williams),1.660,1.390
2,4:09,2,8,NYG 43,13,7,"Eli Manning pass complete to Plaxico Burress for 40 yards (tackle by John Lynch). Penalty on John Lynch: Defensive Pass Interfere (Offsetting), Penalty on Plaxico Burress: Offensive Pass Interfere (Offsetting) (no play)",1.390,1.390
2,3:39,2,8,NYG 43,13,7,Eli Manning pass incomplete intended for Jeremy Shockey,1.390,0.700
2,3:22,3,8,NYG 43,13,7,"Eli Manning pass incomplete intended for Plaxico Burress. Penalty on Champ Bailey: Defensive Holding, 5 yards (no play)",0.700,2.130
,,,,,,,"NYG challenged the ruling, and the play was upheld.",,
2,3:22,1,10,NYG 48,13,7,Tiki Barber right end for no gain (tackle by Domonique Foxworth and Al Wilson),2.130,1.580
2,2:52,2,10,NYG 48,13,7,"Penalty on Kareem McKenzie: False Start, 5 yards (no play)",1.580,0.910
2,2:36,2,15,NYG 43,13,7,Eli Manning pass complete to Plaxico Burress for 23 yards (tackle by Nick Ferguson),0.910,3.310
2,2:00,,,,13,7,Timeout #2 by New York Giants,0.000,3.310
2,2:00,1,10,DEN 34,13,7,Eli Manning pass incomplete intended for Jeremy Shockey,3.310,2.770
2,1:54,2,10,DEN 34,13,7,Eli Manning pass complete to Tiki Barber for no gain,2.770,2.080
2,1:20,3,10,DEN 34,13,7,Eli Manning pass incomplete intended for Plaxico Burress,2.080,1.060
2,1:08,,,,13,7,Timeout #3 by New York Giants,0.000,1.060
2,1:08,4,10,DEN 34,13,10,Jay Feely 52 yard field goal good,1.060,3.000
2,,,,NYG 30,13,10,"Jay Feely kicks off 75 yards, touchback",0.000,0.280
2,1:03,1,10,DEN 20,13,10,Mike Anderson right tackle for 4 yards (tackle by Kenderick Allen and Osi Umenyiora),0.280,0.270
2,0:28,2,6,DEN 24,13,10,Mike Anderson left tackle for 5 yards (tackle by Kenderick Allen),0.270,0.230
Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,13,10,"Jay Feely kicks off 60 yards, returned by Darrent Williams for 30 yards (tackle by Gibril Wilson)",0.000,1.600
3,14:54,1,10,DEN 40,13,10,Jake Plummer pass complete to Kyle Johnson for 33 yards (tackle by Gibril Wilson and Nick Greisen),1.600,3.780
3,14:20,1,10,NYG 27,13,10,Mike Anderson left end for 23 yards (tackle by Brent Alexander and Will Allen),3.780,6.280
3,13:36,1,4,NYG 4,19,10,"Jake Plummer pass complete to Kyle Johnson for 4 yards, touchdown",6.280,7.000
3,,,,NYG 2,20,10,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,20,10,"Todd Sauerbrun kicks off 56 yards, returned by Willie Ponder for 25 yards (tackle by Karl Paymah)",0.000,1.530
3,13:19,1,10,NYG 39,20,10,Eli Manning pass complete to Tiki Barber for 8 yards (tackle by Darrent Williams),1.530,2.070
3,12:47,2,2,NYG 47,20,10,Tiki Barber up the middle for -4 yards (tackle by Trevor Pryce),2.070,0.830
3,12:01,3,6,NYG 43,20,10,Eli Manning pass incomplete intended for Jeremy Shockey,0.830,-0.520
3,11:51,4,6,NYG 43,20,10,"Jeff Feagles punts 49 yards, returned by Darrent Williams for no gain",-0.520,0.380
3,11:42,1,10,DEN 8,20,10,Tatum Bell left end for 37 yards (tackle by Brent Alexander),-0.380,1.930
3,11:24,1,10,DEN 45,20,10,Mike Anderson left end for 3 yards (tackle by Antonio Pierce),1.930,1.790
3,10:42,2,7,DEN 48,20,10,Jake Plummer pass incomplete intended for Rod Smith,1.790,1.090
3,10:33,3,7,DEN 48,20,10,Jake Plummer pass incomplete intended for Ashley Lelie,1.090,-0.190
3,10:25,4,7,DEN 48,20,10,"Todd Sauerbrun punts 39 yards, fair catch by Chad Morton",-0.190,0.320
3,10:16,1,10,NYG 13,20,10,Tiki Barber right end for 4 yards (tackle by Darrent Williams),-0.320,-0.300
3,9:57,2,6,NYG 17,20,10,Eli Manning pass incomplete intended for Amani Toomer,-0.300,-0.940
3,9:47,3,6,NYG 17,20,10,Eli Manning pass complete to Amani Toomer for 11 yards (tackle by Darrent Williams and John Lynch),-0.940,0.810
3,9:11,1,10,NYG 28,20,10,Tiki Barber left tackle for 2 yards (tackle by Demetrin Veal),0.810,0.530
3,8:43,2,8,NYG 30,20,10,Eli Manning pass incomplete intended for Plaxico Burress (defended by Champ Bailey),0.530,-0.160
3,8:33,3,8,NYG 30,20,10,"Eli Manning pass incomplete intended for Plaxico Burress. Penalty on Champ Bailey: Defensive Pass Interfere, 11 yards (no play)",-0.160,1.660
3,8:29,1,10,NYG 41,20,10,Tiki Barber right end for 4 yards (tackle by Nick Ferguson and D.J. Williams),1.660,1.660
3,7:57,2,6,NYG 45,20,10,"Eli Manning pass complete to Jim Finn for 10 yards (tackle by Champ Bailey). Penalty on Kareem McKenzie: Offensive Holding, 10 yards (no play)",1.660,0.310
3,7:28,2,16,NYG 35,20,10,Eli Manning pass complete to Tiki Barber for 1 yard (tackle by Al Wilson),0.310,-0.230
3,6:43,3,15,NYG 36,20,10,Eli Manning pass incomplete intended for Amani Toomer,-0.230,-0.980
3,6:30,4,15,NYG 36,20,10,"Jeff Feagles punts 41 yards, fair catch by Darrent Williams",-0.980,-0.480
3,6:22,1,10,DEN 23,20,10,Tatum Bell left tackle for 7 yards (tackle by Michael Strahan),0.480,0.880
3,5:49,2,3,DEN 30,20,10,Tatum Bell left end for -4 yards (tackle by Justin Tuck and Michael Strahan),0.880,-0.360
3,5:04,3,7,DEN 26,20,10,Jake Plummer up the middle for 11 yards (tackle by Gibril Wilson),-0.360,1.400
3,4:19,1,10,DEN 37,20,10,Jake Plummer pass complete to Ashley Lelie for 16 yards (tackle by Curtis DeLoatch),1.400,2.460
3,3:46,1,10,NYG 47,20,10,Mike Anderson right end for 2 yards (tackle by Antonio Pierce and Gibril Wilson),2.460,2.180
3,3:07,2,8,NYG 45,20,10,Jake Plummer pass incomplete intended for Jeb Putzier,2.180,1.490
3,2:56,3,8,NYG 45,20,10,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Will Allen),1.490,0.270
3,2:51,4,8,NYG 45,20,10,"Todd Sauerbrun punts 28 yards, fair catch by Chad Morton",0.270,0.060
3,2:43,1,10,NYG 17,20,10,Eli Manning pass incomplete intended for Plaxico Burress (defended by Champ Bailey),-0.060,-0.580
3,2:38,2,10,NYG 17,20,10,Eli Manning pass incomplete intended for Plaxico Burress,-0.580,-1.250
3,2:32,3,10,NYG 17,20,10,Eli Manning pass incomplete intended for Amani Toomer,-1.250,-2.320
3,2:24,4,10,NYG 17,20,10,"Jeff Feagles punts 46 yards, returned by Charlie Adams for 16 yards (tackle by Curtis DeLoatch)",-2.320,-2.460
3,2:12,1,10,NYG 47,20,10,Jake Plummer pass complete to Rod Smith for 6 yards (tackle by Will Allen and Reggie Torbor),2.460,2.720
3,1:37,2,4,NYG 41,20,10,Mike Anderson up the middle for 2 yards (tackle by Antonio Pierce),2.720,2.280
3,1:02,3,2,NYG 39,20,10,Tatum Bell left end for 11 yards (tackle by Brent Alexander),2.280,3.710
3,0:30,1,10,NYG 28,20,10,Mike Anderson right guard for 6 yards (tackle by Nick Greisen),3.710,3.980
Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,NYG 22,20,10,Mike Anderson left tackle for 8 yards (tackle by Brent Alexander and Gibril Wilson),3.980,4.650
4,14:23,1,10,NYG 14,20,10,Jake Plummer pass incomplete intended for Todd Devoe,4.650,4.000
4,14:16,2,10,NYG 14,20,10,Mike Anderson right tackle for 5 yards (tackle by Gibril Wilson and Justin Tuck),4.000,4.050
4,13:27,3,5,NYG 9,20,10,Jake Plummer pass incomplete,4.050,2.880
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
4,13:22,4,5,NYG 9,23,10,Jason Elam 27 yard field goal good,2.880,3.000
4,,,,DEN 30,23,10,"Todd Sauerbrun kicks off 66 yards, returned by Willie Ponder for 31 yards (tackle by Karl Paymah)",0.000,1.270
4,13:12,1,10,NYG 35,23,10,Tiki Barber left tackle for 10 yards (tackle by Nick Ferguson),1.270,1.930
4,12:46,1,10,NYG 45,23,10,Tiki Barber left tackle for 8 yards (tackle by D.J. Williams),1.930,2.460
4,12:04,2,2,DEN 47,23,10,Eli Manning pass complete to Tiki Barber for no gain,2.460,1.750
4,11:28,3,2,DEN 47,23,10,Eli Manning pass complete to Amani Toomer for 7 yards (tackle by Champ Bailey),1.750,2.920
4,10:56,1,10,DEN 40,23,10,Tiki Barber up the middle for 3 yards (tackle by John Lynch),2.920,2.780
4,10:17,2,7,DEN 37,23,10,Eli Manning pass complete to Amani Toomer for 10 yards (tackle by Champ Bailey),2.780,3.780
4,9:47,1,10,DEN 27,23,10,Eli Manning pass incomplete intended for Plaxico Burress (defended by Ebenezer Ekuban),3.780,3.230
4,9:37,2,10,DEN 27,23,10,Eli Manning pass complete to Plaxico Burress for 23 yards (tackle by Nick Ferguson),3.230,6.280
4,9:15,1,4,DEN 4,23,16,"Tiki Barber right guard for 4 yards, touchdown",6.280,7.000
4,,,,DEN 2,23,17,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYG 30,23,17,"Jay Feely kicks off 45 yards, returned by Kyle Johnson for 8 yards (tackle by James Butler)",0.000,1.140
4,9:02,1,10,DEN 33,23,17,Mike Anderson right guard for 5 yards (tackle by Antonio Pierce),1.140,1.270
4,8:31,2,5,DEN 38,23,17,"Jake Plummer pass complete to Ashley Lelie for 26 yards (tackle by Brent Alexander). Penalty on Stephen Alexander: Illegal Block Above the , 10 yards",1.270,2.520
4,8:02,1,10,NYG 46,23,17,Jake Plummer pass complete to Ashley Lelie for 11 yards (tackle by Will Allen),2.520,3.250
4,7:16,,,,23,17,Timeout #1 by Denver Broncos,0.000,3.250
4,7:16,1,10,NYG 35,23,17,Jake Plummer pass complete to Ashley Lelie for 5 yards (tackle by Antonio Pierce),3.250,3.380
4,6:40,2,5,NYG 30,23,17,"Mike Anderson right end for 11 yards (tackle by Antonio Pierce). Penalty on George Foster: Offensive Holding, 10 yards (no play)",3.380,2.030
4,6:09,2,15,NYG 40,23,17,Jake Plummer pass incomplete intended for Jeb Putzier,2.030,1.350
4,5:59,3,15,NYG 40,23,17,Jake Plummer pass complete to Stephen Alexander for 9 yards (tackle by Antonio Pierce),1.350,1.340
4,5:24,4,6,NYG 31,23,17,Jason Elam 49 yard field goal no good,1.340,-1.530
4,5:18,1,10,NYG 39,23,17,Eli Manning pass incomplete intended for Amani Toomer (defended by Champ Bailey),1.530,0.990
4,5:12,2,10,NYG 39,23,17,"Eli Manning pass complete to Jeremy Shockey for 8 yards (tackle by Ian Gold and Domonique Foxworth). Penalty on NYG: Illegal Formation, 5 yards (no play)",0.990,0.310
4,4:56,2,15,NYG 34,23,17,Eli Manning pass incomplete intended for Plaxico Burress is intercepted by Champ Bailey at DEN-42,0.310,-1.730
4,4:46,1,10,DEN 42,23,17,Mike Anderson left tackle for 3 yards (tackle by Michael Strahan and Nick Greisen),1.730,1.590
4,4:03,2,7,DEN 45,23,17,Mike Anderson right guard for 2 yards (tackle by Kendrick Clancy and Gibril Wilson),1.590,1.160
4,3:56,,,,23,17,Timeout #1 by New York Giants,0.000,1.160
4,3:56,3,5,DEN 47,23,17,Jake Plummer pass incomplete intended for Tatum Bell (defended by Will Allen),1.160,-0.260
4,3:49,4,5,DEN 47,23,17,"Todd Sauerbrun punts 25 yards, out of bounds. Penalty on Nick Ferguson: Chop Block (Offsetting), Penalty on Shaun Williams: Unnecessary Roughness (Offsetting) (no play)",-0.260,-0.260
4,3:39,4,5,DEN 47,23,17,"Todd Sauerbrun punts 36 yards, returned by Chad Morton for no gain",-0.260,0.060
4,3:29,1,10,NYG 17,23,17,Eli Manning pass incomplete intended for Tiki Barber,-0.060,-0.580
4,3:24,2,10,NYG 17,23,17,Eli Manning pass complete to Plaxico Burress for 6 yards (tackle by Al Wilson),-0.580,-0.490
4,2:54,3,4,NYG 23,23,17,Eli Manning pass complete to Plaxico Burress for 6 yards (tackle by Domonique Foxworth and Darrent Williams),-0.490,0.870
4,2:13,,,,23,17,Timeout #2 by Denver Broncos,0.000,0.870
4,2:13,1,10,NYG 29,23,17,Eli Manning pass complete to Amani Toomer for 7 yards (tackle by Al Wilson and Nick Ferguson),0.870,1.270
4,2:00,2,3,NYG 36,23,17,Tiki Barber up the middle for 6 yards (tackle by Al Wilson),1.270,1.730
4,1:45,1,10,NYG 42,23,17,Eli Manning pass complete to Tiki Barber for 9 yards (tackle by Domonique Foxworth and Ian Gold),1.730,2.400
4,1:23,2,1,DEN 49,23,17,Eli Manning pass complete to Amani Toomer for 5 yards (tackle by Al Wilson and Champ Bailey),2.400,2.650
4,1:01,1,10,DEN 44,23,17,Eli Manning pass complete to Amani Toomer for 9 yards (tackle by Ian Gold and Al Wilson),2.650,3.330
4,0:51,,,,23,17,Timeout #2 by New York Giants,0.000,3.330
4,0:51,2,1,DEN 35,23,17,Tiki Barber up the middle for 3 yards (tackle by Ian Gold),3.330,3.450
4,0:36,1,10,DEN 32,23,17,Eli Manning pass incomplete intended for Plaxico Burress,3.450,2.900
4,0:34,2,10,DEN 32,23,17,Eli Manning pass incomplete intended for Tim Carter,2.900,2.210
4,0:27,3,10,DEN 32,23,17,Eli Manning pass complete to Jeremy Shockey for 24 yards (tackle by Ian Gold),2.210,5.370
4,0:21,1,8,DEN 8,23,17,Eli Manning pass incomplete intended for Amani Toomer,5.370,4.570
4,0:17,2,8,DEN 8,23,17,Eli Manning pass complete to Tiki Barber for 6 yards (tackle by John Lynch),4.570,4.950
4,0:10,,,,23,17,Timeout #3 by New York Giants,0.000,4.950
4,0:10,3,2,DEN 2,23,23,"Eli Manning pass complete to Amani Toomer for 2 yards, touchdown",4.950,7.000
4,,,,DEN 2,23,24,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYG 30,23,24,"Jay Feely kicks off 47 yards, lateral to Charlie Adams for 17 yards. Charlie Adams fumbles, recovered by James Butler at DEN-35 and returned for 5 yards (tackle by Curome Cox)",0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
