Unnamed: 0,PIT,CAR
First Downs,20,12
Rush-Yds-TDs,43-159-2,11-43-0
Cmp-Att-Yd-TD-INT,13-20-169-1-0,24-39-226-0-2
Sacked-Yards,3-22,5-29
Net Pass Yards,147,197
Total Yards,306,240
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,2-10,8-65
Third Down Conv.,10-17,3-13
Fourth Down Conv.,1-1,1-2
Time of Possession,37:13,22:47
