Quarter,Time,Tm,Detail,PIT,CAR
2.0,14:55,Steelers,Ben Roethlisberger 1 yard rush (Jeff Reed kick),7,0
,4:25,Steelers,Jeff Reed 19 yard field goal,10,0
,1:54,Steelers,Najeh Davenport 13 yard pass from Ben Roethlisberger (Jeff Reed kick),17,0
,0:04,Panthers,John Kasay 37 yard field goal,17,3
3.0,4:40,Steelers,Jeff Reed 45 yard field goal,20,3
,0:13,Steelers,Willie Parker 41 yard rush (Jeff Reed kick),27,3
4.0,14:27,Steelers,Santonio Holmes 65 yard punt return (Jeff Reed kick),34,3
,4:01,Steelers,Jeff Reed 26 yard field goal,37,3
