Unnamed: 0,CHI,NYG
First Downs,21,15
Rush-Yds-TDs,39-118-1,22-150-2
Cmp-Att-Yd-TD-INT,18-30-246-3-1,14-32-121-0-2
Sacked-Yards,2-12,2-22
Net Pass Yards,234,99
Total Yards,352,249
Fumbles-Lost,3-2,4-1
Turnovers,3,3
Penalties-Yards,9-80,10-96
Third Down Conv.,9-18,2-12
Fourth Down Conv.,0-0,0-0
Time of Possession,32:46,27:14
