Quarter,Time,Tm,Detail,CHI,NYG
1.0,9:55,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),0,7
,5:59,Bears,Robbie Gould 49 yard field goal,3,7
2.0,13:25,Giants,Jay Feely 46 yard field goal,3,10
,2:21,Giants,Jay Feely 40 yard field goal,3,13
,0:35,Bears,Mark Bradley 29 yard pass from Rex Grossman (Robbie Gould kick),10,13
3.0,8:20,Bears,Muhsin Muhammad 10 yard pass from Rex Grossman (Robbie Gould kick),17,13
,5:35,Bears,Desmond Clark 2 yard pass from Rex Grossman (Robbie Gould kick),24,13
,3:26,Giants,Brandon Jacobs 8 yard rush (Jay Feely kick),24,20
4.0,11:20,Bears,Devin Hester 108 yard field goal return (Robbie Gould kick),31,20
,8:20,Bears,Thomas Jones 2 yard rush (Robbie Gould kick),38,20
