#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:47,CHI 24,3,0:48,1,Interception
2,1,9:55,CHI 44,6,2:44,18,Punt
3,1,6:59,NYG 45,4,1:00,14,Field Goal
4,1,4:17,CHI 24,4,2:17,22,Punt
5,1,0:31,CHI 35,1,0:07,-4,Fumble
6,2,13:25,CHI 28,3,1:41,1,Punt
7,2,7:55,CHI 11,3,1:38,4,Punt
8,2,2:21,CHI 26,8,1:46,74,Touchdown
9,3,15:00,CHI 36,6,3:02,59,Fumble
10,3,10:48,NYG 43,6,2:28,43,Touchdown
11,3,7:23,NYG 21,4,1:48,21,Touchdown
12,3,3:26,CHI 23,7,4:03,28,Punt
13,4,10:53,NYG 46,5,2:33,46,Touchdown
14,4,6:51,CHI 4,12,6:51,30,End of Game
