Unnamed: 0,CIN,BAL
First Downs,20,10
Rush-Yds-TDs,31-90-0,27-98-1
Cmp-Att-Yd-TD-INT,32-45-305-1-2,14-19-125-0-1
Sacked-Yards,0-0,4-24
Net Pass Yards,305,101
Total Yards,395,199
Fumbles-Lost,4-3,1-1
Turnovers,5,2
Penalties-Yards,4-49,7-45
Third Down Conv.,7-17,2-11
Fourth Down Conv.,0-2,0-0
Time of Possession,34:42,25:18
