Quarter,Time,Tm,Detail,CIN,BAL
1,10:10,Ravens,Billy Cundiff 25 yard field goal,0,3
2,4:41,Ravens,Billy Cundiff 47 yard field goal,0,6
3,5:47,Ravens,Ray Rice 7 yard rush (Billy Cundiff kick),0,13
4,12:24,Bengals,Jerome Simpson 11 yard pass from Carson Palmer (Clint Stitser kick),7,13
