Quarter,Time,Down,ToGo,Location,DET,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 64 yards, returned by J.R. Reed for 24 yards (tackle by Jon McGraw)",0.000,0.940
1,14:54,1,10,STL 30,0,0,Steven Jackson right tackle for 6 yards (tackle by Daniel Bullocks),0.940,1.200
1,14:19,2,4,STL 36,0,0,Marc Bulger pass incomplete short left intended for Isaac Bruce,1.200,0.500
1,14:15,3,4,STL 36,0,0,Marc Bulger pass complete deep right to Isaac Bruce for 33 yards (tackle by Jamar Fletcher),0.500,3.510
1,13:59,1,10,DET 31,0,0,Steven Jackson right tackle for 2 yards (tackle by Ernie Sims),3.510,3.240
1,13:26,2,8,DET 29,0,0,Steven Jackson right end for 5 yards (tackle by Jamar Fletcher and Daniel Bullocks),3.240,3.200
1,12:40,3,3,DET 24,0,0,Marc Bulger pass incomplete short right intended for Torry Holt,3.200,1.970
1,12:36,4,3,DET 24,0,3,Jeff Wilkins 42 yard field goal good,1.970,3.000
1,,,,STL 30,0,3,"Jeff Wilkins kicks off 71 yards, returned by Eddie Drummond for 23 yards (tackle by J.R. Reed). Penalty on Anthony Cannon: Offensive Holding, 10 yards",0.000,-0.350
1,12:26,1,10,DET 12,0,3,Kevin Jones left tackle for 9 yards (tackle by O.J. Atogwe),-0.350,0.420
1,11:51,2,1,DET 21,0,3,"Jon Kitna for no gain. Jon Kitna fumbles, recovered by La'Roi Glover at DET-17 (tackle by Dominic Raiola)",0.420,-4.440
1,11:46,1,10,DET 17,0,3,Steven Jackson middle for no gain (tackle by Daniel Bullocks),4.440,3.850
1,11:07,2,10,DET 17,0,3,Marc Bulger pass complete short left to Torry Holt for 6 yards (tackle by Ernie Sims),3.850,4.100
1,10:33,3,4,DET 11,0,3,Marc Bulger pass complete short right to Kevin Curtis for 10 yards (tackle by Ernie Sims),4.100,6.970
1,9:47,1,1,DET 1,0,3,Steven Jackson right guard for no gain (tackle by Paris Lenon and Shaun Cody),6.970,5.910
1,9:11,2,1,DET 1,0,3,Steven Jackson left tackle for no gain (tackle by Shaun Rogers and Shaun Cody),5.910,5.170
1,8:33,3,1,DET 1,0,3,Marc Bulger pass incomplete short right intended for Torry Holt (defended by Dre' Bly),5.170,3.550
,,,,,,,"STL challenged the ruling, and the original play was overturned.",,
1,8:24,4,1,DET 1,0,6,Jeff Wilkins 19 yard field goal good,3.550,3.000
1,,,,STL 30,0,6,"Jeff Wilkins kicks off 70 yards, returned by Eddie Drummond for 41 yards (tackle by Tye Hill)",0.000,1.660
1,8:12,1,10,DET 41,0,6,Kevin Jones right tackle for 2 yards (tackle by Corey Chavous),1.660,1.390
1,7:34,2,8,DET 43,0,6,Jon Kitna pass complete deep middle to Roy Williams for 28 yards (tackle by Travis Fisher),1.390,3.640
1,6:52,1,10,STL 29,0,6,Jon Kitna pass complete short left to Roy Williams for 15 yards (tackle by Fakhir Brown),3.640,4.650
1,6:11,1,10,STL 14,0,6,Jon Kitna pass incomplete short right intended for Cory Schlesinger,4.650,4.000
1,6:05,2,10,STL 14,0,6,"Penalty on Jimmy Kennedy: Encroachment, 5 yards (no play)",4.000,4.900
1,6:05,2,5,STL 9,0,6,Kevin Jones middle for no gain (tackle by Corey Chavous),4.900,4.050
1,5:26,3,5,STL 9,0,6,Jon Kitna sacked by Leonard Little for -2 yards,4.050,2.700
1,4:54,4,7,STL 11,3,6,Jason Hanson 29 yard field goal good,2.700,3.000
1,,,,DET 30,3,6,"Jason Hanson kicks off 70 yards, returned by J.R. Reed for 13 yards (tackle by Keith Smith)",0.000,-0.320
1,4:44,1,10,STL 13,3,6,Marc Bulger pass incomplete short left intended for Steven Jackson,-0.320,-0.770
1,4:38,2,10,STL 13,3,6,Steven Jackson middle for 27 yards (tackle by Daniel Bullocks),-0.770,1.600
1,3:58,1,10,STL 40,3,6,Marc Bulger pass incomplete deep left intended for Torry Holt,1.600,1.050
1,3:52,2,10,STL 40,3,6,Steven Jackson right tackle for 3 yards (tackle by Jon McGraw),1.050,0.760
1,3:16,3,7,STL 43,3,6,Marc Bulger pass incomplete short right intended for Dane Looker,0.760,-0.520
1,3:07,4,7,STL 43,3,6,"Matt Turk punts 44 yards, fair catch by Eddie Drummond",-0.520,0.320
1,2:58,1,10,DET 13,3,6,Kevin Jones left tackle for -2 yards (tackle by Leonard Little and Jimmy Kennedy),-0.320,-0.930
1,2:24,2,12,DET 11,3,6,"Jon Kitna pass complete short middle to Kevin Jones for 7 yards (tackle by Pisa Tinoisamoa). Penalty on Brandon Chillar: Illegal Contact, 5 yards (no play)",-0.930,-0.140
1,2:00,1,10,DET 16,3,6,Jon Kitna pass incomplete short middle intended for Roy Williams is intercepted by O.J. Atogwe at DET-31 and returned for 1 yard,-0.140,-3.580
1,1:53,1,10,DET 30,3,6,Marc Bulger pass complete short right to Isaac Bruce for 14 yards (tackle by Stanley Wilson),3.580,4.510
1,1:16,1,10,DET 16,3,12,"Marc Bulger pass complete deep middle to Joe Klopfenstein for 16 yards, touchdown",4.510,7.000
1,,,,DET 2,3,13,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,3,13,"Jeff Wilkins kicks off 70 yards, returned by Eddie Drummond for 31 yards (tackle by Ronald Bartell)",0.000,1.000
1,1:03,1,10,DET 31,3,13,Kevin Jones left tackle for -2 yards (tackle by Victor Adeyanju),1.000,0.190
1,0:27,2,12,DET 29,3,13,Jon Kitna pass complete short right to Mike Furrey for 11 yards (tackle by Tye Hill),0.190,0.960
Quarter,Time,Down,ToGo,Location,DET,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,DET 40,3,13,Kevin Jones left tackle for no gain (tackle by Will Witherspoon and Pisa Tinoisamoa),0.960,-0.720
2,14:35,4,1,DET 40,3,13,"Nick Harris punts 45 yards, fair catch by Shaun McDonald",-0.720,0.220
2,14:27,1,10,STL 15,3,13,Marc Bulger pass complete short right to Isaac Bruce for 4 yards (tackle by Jamar Fletcher),-0.220,-0.110
2,14:10,2,6,STL 19,3,13,Steven Jackson middle for 3 yards (tackle by Cory Redding),-0.110,-0.510
2,13:30,3,3,STL 22,3,13,"Marc Bulger middle for 13 yards (tackle by Daniel Bullocks). Penalty on Todd Steussie: Offensive Holding, 10 yards (no play)",-0.510,-1.770
2,12:57,3,13,STL 12,3,13,Marc Bulger pass complete short right to Tony Fisher for 3 yards (tackle by Paris Lenon),-1.770,-2.440
2,12:20,4,10,STL 15,3,13,"Matt Turk punts 35 yards, fair catch by Eddie Drummond",-2.440,-2.260
2,12:13,1,10,,3,13,Jon Kitna pass incomplete short right intended for Marcus Pollard,2.260,1.710
2,12:10,2,10,,3,13,Jon Kitna pass complete short middle to Mike Furrey for 8 yards (tackle by Travis Fisher),1.710,2.080
2,11:30,3,2,STL 42,3,13,Jon Kitna pass complete short left to Mike Furrey for 5 yards (tackle by Tye Hill),2.080,3.120
2,10:54,1,10,STL 37,3,13,Kevin Jones right guard for 9 yards (tackle by O.J. Atogwe),3.120,3.790
2,10:18,2,1,STL 28,3,13,Kevin Jones left end for 6 yards (tackle by Will Witherspoon and Fakhir Brown),3.790,4.110
2,9:41,1,10,STL 22,3,13,Jon Kitna pass incomplete short right intended for Roy Williams,4.110,3.560
2,9:36,,,,3,13,Timeout #1 by Detroit Lions,0.000,3.560
2,9:36,2,10,STL 22,3,13,Jon Kitna pass complete deep left to Roy Williams for 19 yards (tackle by Fakhir Brown),3.560,6.510
