#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:31,DET 12,2,0:45,5,Fumble
2,1,8:21,DET 41,7,3:33,48,Field Goal
3,1,2:58,DET 13,2,1:05,3,Interception
4,1,1:08,DET 31,3,1:41,9,Punt
5,2,12:13,,9,3:24,50,Touchdown
6,2,7:21,DET 18,12,6:09,82,Touchdown
7,2,0:04,,0,0:04,0,End of Half
8,3,15:00,DET 23,3,1:01,1,Punt
9,3,11:18,STL 36,7,3:10,34,Field Goal
10,3,6:26,DET 35,4,2:03,65,Touchdown
11,3,0:44,DET 29,10,4:33,71,Touchdown
12,4,6:16,DET 20,3,1:34,5,Punt
13,4,1:56,DET 20,1,0:07,0,Interception
14,4,0:47,DET 37,5,0:45,26,Downs
