Unnamed: 0,DET,STL
First Downs,21,23
Rush-Yds-TDs,21-93-2,27-106-1
Cmp-Att-Yd-TD-INT,29-43-280-2-2,26-42-328-3-0
Sacked-Yards,2-3,1-7
Net Pass Yards,277,321
Total Yards,370,427
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,4-70,8-66
Third Down Conv.,5-12,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,29:54,30:06
