Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dalvin Cook,MIN,9,84,0,4,49,5.4,35,3.9,2,4.5
Latavius Murray,MIN,4,11,0,1,6,1.5,5,1.3,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Sony Michel,NWE,17,63,0,3,44,2.6,19,1.1,0,
Rex Burkhead,NWE,7,20,0,1,8,1.1,12,1.7,0,
James White,NWE,6,26,0,1,10,1.7,16,2.7,1,6.0
James Develin,NWE,4,5,2,3,5,1.3,0,0.0,0,
Tom Brady,NWE,2,5,0,1,5,2.5,0,0.0,0,
Julian Edelman,NWE,2,35,0,2,31,15.5,4,2.0,0,
Cordarrelle Patterson,NWE,1,6,0,0,4,4.0,2,2.0,0,
