Unnamed: 0,MIN,NWE
First Downs,16,27
Rush-Yds-TDs,13-95-0,39-160-2
Cmp-Att-Yd-TD-INT,32-44-201-1-2,24-32-311-1-1
Sacked-Yards,2-18,0-0
Net Pass Yards,183,311
Total Yards,278,471
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,5-55,7-60
Third Down Conv.,3-12,7-14
Fourth Down Conv.,1-2,1-1
Time of Possession,26:39,33:21
