Quarter,Time,Tm,Detail,TAM,CAR
1.0,8:19,Panthers,Colin Thompson 7 yard pass from Teddy Bridgewater (Joey Slye kick),0,7
,3:37,Buccaneers,Cameron Brate 5 yard pass from Tom Brady (Ryan Succop kick),7,7
,1:45,Panthers,D.J. Moore 24 yard pass from Teddy Bridgewater (Joey Slye kick),7,14
2.0,9:59,Buccaneers,Ryan Succop 23 yard field goal,10,14
,3:56,Panthers,Joey Slye 46 yard field goal,10,17
,0:27,Buccaneers,Mike Evans 3 yard pass from Tom Brady (Ryan Succop kick),17,17
3.0,10:58,Buccaneers,Ryan Succop 24 yard field goal,20,17
,7:39,Buccaneers,Ronald Jones II 98 yard rush (Ryan Succop kick failed),26,17
,3:10,Buccaneers,Ryan Succop 21 yard field goal,29,17
4.0,12:40,Buccaneers,Ryan Succop 40 yard field goal,32,17
,11:23,Panthers,Teddy Bridgewater 3 yard rush (pass failed),32,23
,6:18,Buccaneers,Tom Brady 1 yard rush (Ryan Succop kick),39,23
,4:24,Buccaneers,Rob Gronkowski 7 yard pass from Tom Brady (Ryan Succop kick),46,23
