Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CAR 25,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for 5 yards,0.610,0.740
1,14:31,2,5,CAR 30,0,0,Teddy Bridgewater pass complete short right to Alex Armah for no gain (tackle by Devin White),0.740,0.040
1,13:45,3,5,CAR 30,0,0,Teddy Bridgewater pass complete short right to Robby Anderson for 2 yards (tackle by Lavonte David),0.040,-1.240
1,13:06,4,3,CAR 32,0,0,"Joseph Charlton punts 43 yards, fair catch by Antonio Brown at TB-25",-1.240,-0.610
1,12:58,1,10,TAM 25,0,0,Ronald Jones right guard for 1 yard (tackle by Bravvion Roy and Tahir Whitehead),0.610,0.200
1,12:36,2,9,TAM 26,0,0,"Tom Brady pass complete short middle to Ronald Jones for 6 yards (tackle by Shaq Thompson). Ronald Jones fumbles (forced by Shaq Thompson), recovered by Tre Boston at TB-33",0.200,-3.380
1,12:19,1,10,TAM 33,0,0,Teddy Bridgewater pass complete short right to Curtis Samuel for 5 yards (tackle by Jamel Dean),3.380,3.510
1,11:41,2,5,TAM 28,0,0,Teddy Bridgewater pass complete short right to Curtis Samuel for -3 yards (tackle by Shaquil Barrett),3.510,2.410
1,10:59,3,8,TAM 31,0,0,Teddy Bridgewater right end for 5 yards (tackle by Jason Pierre-Paul),2.410,1.840
1,10:25,4,3,TAM 26,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for 9 yards (tackle by Carlton Davis),1.840,4.440
1,9:55,1,10,TAM 17,0,0,Mike Davis up the middle for 6 yards (tackle by Jason Pierre-Paul and William Gholston),4.440,4.890
1,9:09,2,4,TAM 11,0,0,Curtis Samuel left tackle for 4 yards (tackle by Jordan Whitehead and Steve McLendon),4.890,5.600
1,8:26,1,7,TAM 7,0,6,"Teddy Bridgewater pass complete short right to Colin Thompson for 7 yards, touchdown",5.600,7.000
1,8:19,,,TAM 15,0,7,Joey Slye kicks extra point good,0.000,0.000
1,8:19,,,CAR 35,0,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,8:19,1,10,TAM 25,0,7,Tom Brady pass complete deep right to Chris Godwin for 23 yards (tackle by Tahir Whitehead),0.610,2.130
1,7:41,1,10,TAM 48,0,7,Tom Brady pass incomplete deep middle intended for Antonio Brown,2.130,1.580
1,7:34,2,10,TAM 48,0,7,Ronald Jones left tackle for 8 yards (tackle by Shaq Thompson and Jeremy Chinn),1.580,1.950
1,6:56,3,2,CAR 44,0,7,Tom Brady pass complete deep left to Mike Evans for 19 yards (tackle by Rasul Douglas),1.950,3.910
1,6:31,1,10,CAR 25,0,7,Ronald Jones left guard for 3 yards (tackle by Zach Kerr and Tahir Whitehead),3.910,3.770
1,5:51,2,7,CAR 22,0,7,Tom Brady pass incomplete short left intended for Ronald Jones,3.770,3.070
1,5:45,3,7,CAR 22,0,7,Tom Brady pass complete short right to Chris Godwin for 14 yards (tackle by Corn Elder),3.070,5.370
1,5:08,1,8,CAR 8,0,7,Ronald Jones left tackle for no gain (tackle by Derrick Brown and Yetur Gross-Matos),5.370,4.570
1,4:27,2,8,CAR 8,0,7,Tom Brady pass complete short left to Leonard Fournette for 3 yards (tackle by Jeremy Chinn),4.570,4.260
1,3:43,3,5,CAR 5,6,7,"Tom Brady pass complete short left to Cameron Brate for 5 yards, touchdown",4.260,7.000
1,3:37,,,CAR 15,7,7,Ryan Succop kicks extra point good,0.000,0.000
1,3:37,,,TAM 35,7,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,3:37,1,10,CAR 25,7,7,Teddy Bridgewater pass complete short left to Curtis Samuel for 6 yards (tackle by Sean Murphy-Bunting),0.610,0.870
1,3:02,2,4,CAR 31,7,7,Mike Davis right end for 7 yards (tackle by Carlton Davis and Steve McLendon),0.870,1.470
1,2:21,1,10,CAR 38,7,7,Teddy Bridgewater pass complete deep left to D.J. Moore for 38 yards (tackle by Carlton Davis),1.470,3.970
1,1:54,1,10,TAM 24,7,13,"Teddy Bridgewater pass complete short left to D.J. Moore for 24 yards, touchdown",3.970,7.000
1,1:45,,,TAM 15,7,14,Joey Slye kicks extra point good,0.000,0.000
1,1:45,,,CAR 35,7,14,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,1:45,1,10,TAM 25,7,14,Tom Brady pass complete short left to Antonio Brown for 3 yards (tackle by Sam Franklin and Donte Jackson),0.610,0.470
1,1:08,2,7,TAM 28,7,14,Ronald Jones right guard for 7 yards (tackle by Corn Elder and Tre Boston),0.470,1.270
1,0:30,1,10,TAM 35,7,14,Ronald Jones left tackle for no gain (tackle by Corn Elder),1.270,0.720
1,0:02,2,10,TAM 35,7,14,Tom Brady pass complete short left to Antonio Brown for 9 yards (tackle by Donte Jackson),0.720,1.220
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,TAM 44,7,14,Ronald Jones right tackle for 3 yards (tackle by Troy Pride),1.220,2.060
2,14:25,1,10,TAM 47,7,14,Leonard Fournette up the middle for 1 yard (tackle by Bravvion Roy and Corn Elder),2.060,1.650
2,13:52,2,9,TAM 48,7,14,Tom Brady pass complete short left to Leonard Fournette for 8 yards (tackle by Tre Boston),1.650,2.020
